LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM BREWER,PAT FUREY,BILL SUTHERLAND
TORRANCE,7150131A,2719,180,N,902,POLLING PLACE,104,40,37,24
TORRANCE,7150131A,2719,180,N,0,VBM PORTION,101,32,31,23
TORRANCE,7150131A,2719,180,N,902,TOTAL,205,72,68,47
TORRANCE,7150132A,2720,180,N,1310,POLLING PLACE,147,65,48,26
TORRANCE,7150132A,2720,180,N,0,VBM PORTION,143,59,39,27
TORRANCE,7150132A,2720,180,N,1310,TOTAL,290,124,87,53
TORRANCE,7150137A,2721,185,N,902,POLLING PLACE,92,17,60,10
TORRANCE,7150137A,2721,185,N,0,VBM PORTION,89,19,45,18
TORRANCE,7150137A,2721,185,N,902,TOTAL,181,36,105,28
TORRANCE,7150144A,2722,180,N,1016,POLLING PLACE,150,66,51,24
TORRANCE,7150144A,2722,180,N,0,VBM PORTION,155,44,50,32
TORRANCE,7150144A,2722,180,N,1016,TOTAL,305,110,101,56
TORRANCE,7150146A,2723,180,N,922,POLLING PLACE,101,28,35,26
TORRANCE,7150146A,2723,180,N,0,VBM PORTION,93,22,30,18
TORRANCE,7150146A,2723,180,N,922,TOTAL,194,50,65,44
TORRANCE,7150149A,2724,185,N,1238,POLLING PLACE,160,51,52,25
TORRANCE,7150149A,2724,185,N,0,VBM PORTION,116,35,44,20
TORRANCE,7150149A,2724,185,N,1238,TOTAL,276,86,96,45
TORRANCE,7150161A,2725,180,N,1004,POLLING PLACE,96,38,34,18
TORRANCE,7150161A,2725,180,N,0,VBM PORTION,119,32,44,18
TORRANCE,7150161A,2725,180,N,1004,TOTAL,215,70,78,36
TORRANCE,7150182A,2726,180,N,964,POLLING PLACE,123,52,30,32
TORRANCE,7150182A,2726,180,N,0,VBM PORTION,180,55,54,35
TORRANCE,7150182A,2726,180,N,964,TOTAL,303,107,84,67
TORRANCE,7150201A,2727,185,N,1014,POLLING PLACE,122,47,39,19
TORRANCE,7150201A,2727,185,N,0,VBM PORTION,147,56,39,31
TORRANCE,7150201A,2727,185,N,1014,TOTAL,269,103,78,50
TORRANCE,7150300A,2728,180,N,854,POLLING PLACE,200,86,65,43
TORRANCE,7150300A,2728,180,N,0,VBM PORTION,101,34,20,29
TORRANCE,7150300A,2728,180,N,854,TOTAL,301,120,85,72
TORRANCE,7150301A,2729,180,N,1147,POLLING PLACE,226,94,84,37
TORRANCE,7150301A,2729,180,N,0,VBM PORTION,163,47,55,37
TORRANCE,7150301A,2729,180,N,1147,TOTAL,389,141,139,74
BALLOT GROUP 180,9990180A,8180,180,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 180,9990180A,8180,180,N,0,VBM PORTION,2,0,0,1
BALLOT GROUP 180,9990180A,8180,180,N,0,TOTAL,1,0,0,1
BALLOT GROUP 182,9990182A,8182,182,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 182,9990182A,8182,182,N,0,VBM PORTION,2,0,0,0
BALLOT GROUP 182,9990182A,8182,182,N,0,TOTAL,1,0,0,0
BALLOT GROUP 185,9990185A,8185,185,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 185,9990185A,8185,185,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 185,9990185A,8185,185,N,0,TOTAL,0,0,0,0
