LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,44,78
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,27,51
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,14,43
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,41,94
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,27,35
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,14,20
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,41,55
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,26,31
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,16,25
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,42,56
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,9,12
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,12,20
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,21,32
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,32,56
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,14,27
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,46,83
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,27,41
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,35,44
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,62,85
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,28,70
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,28,35
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,56,105
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,24,27
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,50,63
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,74,90
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,18,42
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,19,37
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,37,79
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,10,22
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,13,15
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,23,37
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,27,32
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,14,20
ALTADENA,0200001A,63,33,N,500,TOTAL,118,41,52
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,14,25
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,28,51
ALTADENA,0200002A,64,33,N,692,TOTAL,152,42,76
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,36,34
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,24,34
ALTADENA,0200003A,65,33,N,854,TOTAL,161,60,68
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,39,88
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,61,87
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,100,175
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,30,63
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,34,62
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,64,125
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,17,44
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,13,32
ALTADENA,0200008A,68,33,N,873,TOTAL,135,30,76
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,33,43
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,17,33
ALTADENA,0200009A,69,33,N,969,TOTAL,151,50,76
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,31,28
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,36,44
ALTADENA,0200011A,70,33,N,860,TOTAL,178,67,72
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,30,55
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,32,46
ALTADENA,0200012A,71,33,N,819,TOTAL,194,62,101
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,27,25
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,11,19
ALTADENA,0200013A,72,33,N,931,TOTAL,109,38,44
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,39,42
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,27,59
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,66,101
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,26,21
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,15,29
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,41,50
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,18,28
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,15,19
ALTADENA,0200018A,75,33,N,852,TOTAL,93,33,47
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,13,36
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,10,11
ALTADENA,0200019B,76,33,N,872,TOTAL,81,23,47
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,28,63
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,29,58
ALTADENA,0200022A,77,33,N,866,TOTAL,243,57,121
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,34,40
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,9,24
ALTADENA,0200025B,78,33,N,915,TOTAL,136,43,64
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,59,101
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,41,117
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,100,218
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,29,67
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,38,71
ALTADENA,0200030A,80,33,N,889,TOTAL,261,67,138
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,44,117
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,38,80
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,82,197
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,46,94
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,20,84
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,66,178
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,49,65
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,31,61
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,80,126
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,24,46
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,21,20
ALTADENA,0200044A,84,33,N,985,TOTAL,136,45,66
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,30,77
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,36,75
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,66,152
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,55,68
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,49,69
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,104,137
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,1,3
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,1,3
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,29,37
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,23,25
ALTADENA,0200087A,87,33,N,703,TOTAL,153,52,62
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,37,73
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,41,72
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,78,145
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,51,54
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,33,60
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,84,114
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,53,83
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,29,66
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,82,149
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,67,36
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,53,50
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,120,86
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,9,2
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,9,2
