LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN WOOD JR,MAXINE WATERS
INGLEWOOD,2950024A,1129,162,N,840,POLLING PLACE,81,2,69
INGLEWOOD,2950024A,1129,162,N,0,VBM PORTION,59,7,47
INGLEWOOD,2950024A,1129,162,N,840,TOTAL,140,9,116
INGLEWOOD,2950025A,1130,160,N,1014,POLLING PLACE,83,9,63
INGLEWOOD,2950025A,1130,160,N,0,VBM PORTION,44,4,38
INGLEWOOD,2950025A,1130,160,N,1014,TOTAL,127,13,101
INGLEWOOD,2950026A,1131,162,N,925,POLLING PLACE,107,1,95
INGLEWOOD,2950026A,1131,162,N,0,VBM PORTION,53,4,45
INGLEWOOD,2950026A,1131,162,N,925,TOTAL,160,5,140
INGLEWOOD,2950026B,6073,163,Y,79,POLLING PLACE,0,0,0
INGLEWOOD,2950026B,6073,163,Y,0,VBM PORTION,6,1,5
INGLEWOOD,2950026B,6073,163,Y,79,TOTAL,6,1,5
INGLEWOOD,2950028A,1132,162,N,557,POLLING PLACE,46,7,30
INGLEWOOD,2950028A,1132,162,N,0,VBM PORTION,27,2,23
INGLEWOOD,2950028A,1132,162,N,557,TOTAL,73,9,53
INGLEWOOD,2950029A,1133,162,N,932,POLLING PLACE,65,4,57
INGLEWOOD,2950029A,1133,162,N,0,VBM PORTION,71,1,64
INGLEWOOD,2950029A,1133,162,N,932,TOTAL,136,5,121
INGLEWOOD,2950030A,1134,162,N,1061,POLLING PLACE,49,3,38
INGLEWOOD,2950030A,1134,162,N,0,VBM PORTION,59,6,48
INGLEWOOD,2950030A,1134,162,N,1061,TOTAL,108,9,86
INGLEWOOD,2950031A,1135,162,N,803,POLLING PLACE,46,7,31
INGLEWOOD,2950031A,1135,162,N,0,VBM PORTION,26,6,18
INGLEWOOD,2950031A,1135,162,N,803,TOTAL,72,13,49
INGLEWOOD,2950033A,1136,162,N,1008,POLLING PLACE,32,2,21
INGLEWOOD,2950033A,1136,162,N,0,VBM PORTION,28,5,17
INGLEWOOD,2950033A,1136,162,N,1008,TOTAL,60,7,38
INGLEWOOD,2950037C,1137,162,N,676,POLLING PLACE,36,2,29
INGLEWOOD,2950037C,1137,162,N,0,VBM PORTION,22,9,8
INGLEWOOD,2950037C,1137,162,N,676,TOTAL,58,11,37
INGLEWOOD,2950039A,1138,162,N,1260,POLLING PLACE,77,9,50
INGLEWOOD,2950039A,1138,162,N,0,VBM PORTION,53,6,44
INGLEWOOD,2950039A,1138,162,N,1260,TOTAL,130,15,94
INGLEWOOD,2950040A,1139,162,N,1138,POLLING PLACE,62,5,51
INGLEWOOD,2950040A,1139,162,N,0,VBM PORTION,32,3,26
INGLEWOOD,2950040A,1139,162,N,1138,TOTAL,94,8,77
INGLEWOOD,2950041A,1140,162,N,1142,POLLING PLACE,74,5,62
INGLEWOOD,2950041A,1140,162,N,0,VBM PORTION,57,3,49
INGLEWOOD,2950041A,1140,162,N,1142,TOTAL,131,8,111
INGLEWOOD,2950042A,1141,162,N,1091,POLLING PLACE,80,4,72
INGLEWOOD,2950042A,1141,162,N,0,VBM PORTION,53,7,40
INGLEWOOD,2950042A,1141,162,N,1091,TOTAL,133,11,112
INGLEWOOD,2950044A,1142,162,N,915,POLLING PLACE,44,5,30
INGLEWOOD,2950044A,1142,162,N,0,VBM PORTION,32,6,26
INGLEWOOD,2950044A,1142,162,N,915,TOTAL,76,11,56
INGLEWOOD,2950047B,1143,162,N,1034,POLLING PLACE,42,11,26
INGLEWOOD,2950047B,1143,162,N,0,VBM PORTION,38,10,24
