LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JORGE S FUENTES,SCOTT WILK
CASTAIC,1040028A,427,10,N,0,VBM PORTION,124,21,88
CASTAIC,1040028A,427,10,N,1330,TOTAL,239,56,162
CASTAIC,1040052A,6025,10,Y,100,POLLING PLACE,0,0,0
CASTAIC,1040052A,6025,10,Y,0,VBM PORTION,29,5,21
CASTAIC,1040052A,6025,10,Y,100,TOTAL,29,5,21
CASTAIC,1040072A,428,10,N,753,POLLING PLACE,83,22,54
CASTAIC,1040072A,428,10,N,0,VBM PORTION,74,13,44
CASTAIC,1040072A,428,10,N,753,TOTAL,157,35,98
CASTAIC,1040226A,429,10,N,769,POLLING PLACE,49,5,41
CASTAIC,1040226A,429,10,N,0,VBM PORTION,127,26,97
CASTAIC,1040226A,429,10,N,769,TOTAL,176,31,138
CASTAIC,1040251A,430,10,N,739,POLLING PLACE,70,17,46
CASTAIC,1040251A,430,10,N,0,VBM PORTION,71,24,38
CASTAIC,1040251A,430,10,N,739,TOTAL,141,41,84
CHATSWORTH,1150001A,477,10,N,807,POLLING PLACE,34,8,24
CHATSWORTH,1150001A,477,10,N,0,VBM PORTION,58,23,32
CHATSWORTH,1150001A,477,10,N,807,TOTAL,92,31,56
NEWHALL,4700001A,6116,10,Y,82,POLLING PLACE,0,0,0
NEWHALL,4700001A,6116,10,Y,0,VBM PORTION,9,3,5
NEWHALL,4700001A,6116,10,Y,82,TOTAL,9,3,5
NEWHALL,4700005A,6118,10,Y,72,POLLING PLACE,0,0,0
NEWHALL,4700005A,6118,10,Y,0,VBM PORTION,24,8,14
NEWHALL,4700005A,6118,10,Y,72,TOTAL,24,8,14
SANTA CLARITA,6220002B,2338,10,N,1138,POLLING PLACE,102,33,58
SANTA CLARITA,6220002B,2338,10,N,0,VBM PORTION,89,18,66
SANTA CLARITA,6220002B,2338,10,N,1138,TOTAL,191,51,124
SANTA CLARITA,6220003A,2339,10,N,1325,POLLING PLACE,138,25,101
SANTA CLARITA,6220003A,2339,10,N,0,VBM PORTION,150,42,95
SANTA CLARITA,6220003A,2339,10,N,1325,TOTAL,288,67,196
SANTA CLARITA,6220004A,2340,10,N,1031,POLLING PLACE,117,37,72
SANTA CLARITA,6220004A,2340,10,N,0,VBM PORTION,98,25,62
SANTA CLARITA,6220004A,2340,10,N,1031,TOTAL,215,62,134
SANTA CLARITA,6220005A,2341,10,N,1321,POLLING PLACE,109,29,68
SANTA CLARITA,6220005A,2341,10,N,0,VBM PORTION,152,49,93
SANTA CLARITA,6220005A,2341,10,N,1321,TOTAL,261,78,161
SANTA CLARITA,6220006A,2342,10,N,1112,POLLING PLACE,109,26,79
SANTA CLARITA,6220006A,2342,10,N,0,VBM PORTION,130,32,89
SANTA CLARITA,6220006A,2342,10,N,1112,TOTAL,239,58,168
SANTA CLARITA,6220007A,2343,10,N,841,POLLING PLACE,91,13,72
SANTA CLARITA,6220007A,2343,10,N,0,VBM PORTION,86,32,49
SANTA CLARITA,6220007A,2343,10,N,841,TOTAL,177,45,121
SANTA CLARITA,6220008A,2344,10,N,1375,POLLING PLACE,142,36,96
SANTA CLARITA,6220008A,2344,10,N,0,VBM PORTION,199,43,134
SANTA CLARITA,6220008A,2344,10,N,1375,TOTAL,341,79,230
SANTA CLARITA,6220009A,2345,10,N,1006,POLLING PLACE,94,23,61
SANTA CLARITA,6220009A,2345,10,N,0,VBM PORTION,111,24,75
SANTA CLARITA,6220009A,2345,10,N,1006,TOTAL,205,47,136
SANTA CLARITA,6220010A,2346,10,N,936,POLLING PLACE,80,30,46
SANTA CLARITA,6220010A,2346,10,N,0,VBM PORTION,119,20,92
SANTA CLARITA,6220010A,2346,10,N,936,TOTAL,199,50,138
SANTA CLARITA,6220011B,2347,10,N,1357,POLLING PLACE,121,38,77
SANTA CLARITA,6220011B,2347,10,N,0,VBM PORTION,176,60,93
SANTA CLARITA,6220011B,2347,10,N,1357,TOTAL,297,98,170
SANTA CLARITA,6220017B,2348,10,N,1215,POLLING PLACE,80,27,44
SANTA CLARITA,6220017B,2348,10,N,0,VBM PORTION,142,40,86
SANTA CLARITA,6220017B,2348,10,N,1215,TOTAL,222,67,130
SANTA CLARITA,6220018A,2349,10,N,875,POLLING PLACE,67,20,44
SANTA CLARITA,6220018A,2349,10,N,0,VBM PORTION,115,38,66
SANTA CLARITA,6220018A,2349,10,N,875,TOTAL,182,58,110
SANTA CLARITA,6220020A,2350,10,N,1421,POLLING PLACE,149,43,96
SANTA CLARITA,6220020A,2350,10,N,0,VBM PORTION,183,49,119
SANTA CLARITA,6220020A,2350,10,N,1421,TOTAL,332,92,215
SANTA CLARITA,6220022B,2351,10,N,1045,POLLING PLACE,99,19,74
SANTA CLARITA,6220022B,2351,10,N,0,VBM PORTION,139,35,96
SANTA CLARITA,6220022B,2351,10,N,1045,TOTAL,238,54,170
SANTA CLARITA,6220023A,2352,10,N,628,POLLING PLACE,56,16,38
SANTA CLARITA,6220023A,2352,10,N,0,VBM PORTION,84,13,58
SANTA CLARITA,6220023A,2352,10,N,628,TOTAL,140,29,96
SANTA CLARITA,6220024A,2353,10,N,1420,POLLING PLACE,143,53,82
SANTA CLARITA,6220024A,2353,10,N,0,VBM PORTION,179,47,113
SANTA CLARITA,6220024A,2353,10,N,1420,TOTAL,322,100,195
SANTA CLARITA,6220028B,2354,10,N,1334,POLLING PLACE,160,36,109
SANTA CLARITA,6220028B,2354,10,N,0,VBM PORTION,166,57,92
SANTA CLARITA,6220028B,2354,10,N,1334,TOTAL,326,93,201
SANTA CLARITA,6220030A,2355,10,N,1165,POLLING PLACE,199,56,128
SANTA CLARITA,6220030A,2355,10,N,0,VBM PORTION,188,44,131
SANTA CLARITA,6220030A,2355,10,N,1165,TOTAL,387,100,259
SANTA CLARITA,6220031A,2356,10,N,898,POLLING PLACE,50,23,23
SANTA CLARITA,6220031A,2356,10,N,0,VBM PORTION,52,23,22
SANTA CLARITA,6220031A,2356,10,N,898,TOTAL,102,46,45
SANTA CLARITA,6220032A,2357,10,N,1060,POLLING PLACE,108,32,66
SANTA CLARITA,6220032A,2357,10,N,0,VBM PORTION,173,36,114
SANTA CLARITA,6220032A,2357,10,N,1060,TOTAL,281,68,180
SANTA CLARITA,6220033A,2358,10,N,735,POLLING PLACE,71,8,59
SANTA CLARITA,6220033A,2358,10,N,0,VBM PORTION,100,28,65
SANTA CLARITA,6220033A,2358,10,N,735,TOTAL,171,36,124
SANTA CLARITA,6220034A,2359,10,N,804,POLLING PLACE,45,18,26
SANTA CLARITA,6220034A,2359,10,N,0,VBM PORTION,78,22,48
SANTA CLARITA,6220034A,2359,10,N,804,TOTAL,123,40,74
SANTA CLARITA,6220037B,2360,10,N,617,POLLING PLACE,53,16,35
SANTA CLARITA,6220037B,2360,10,N,0,VBM PORTION,53,6,43
SANTA CLARITA,6220037B,2360,10,N,617,TOTAL,106,22,78
SANTA CLARITA,6220038A,2361,10,N,1191,POLLING PLACE,136,49,77
SANTA CLARITA,6220038A,2361,10,N,0,VBM PORTION,198,67,108
SANTA CLARITA,6220038A,2361,10,N,1191,TOTAL,334,116,185
SANTA CLARITA,6220040A,2362,10,N,1114,POLLING PLACE,83,19,56
SANTA CLARITA,6220040A,2362,10,N,0,VBM PORTION,88,29,56
SANTA CLARITA,6220040A,2362,10,N,1114,TOTAL,171,48,112
SANTA CLARITA,6220041A,2363,10,N,1369,POLLING PLACE,139,34,90
SANTA CLARITA,6220041A,2363,10,N,0,VBM PORTION,198,40,131
SANTA CLARITA,6220041A,2363,10,N,1369,TOTAL,337,74,221
SANTA CLARITA,6220042A,2364,10,N,1295,POLLING PLACE,98,26,64
SANTA CLARITA,6220042A,2364,10,N,0,VBM PORTION,177,39,125
SANTA CLARITA,6220042A,2364,10,N,1295,TOTAL,275,65,189
SANTA CLARITA,6220043A,2365,10,N,1279,POLLING PLACE,138,37,89
SANTA CLARITA,6220043A,2365,10,N,0,VBM PORTION,207,60,124
SANTA CLARITA,6220043A,2365,10,N,1279,TOTAL,345,97,213
SANTA CLARITA,6220044A,2366,10,N,1012,POLLING PLACE,95,24,60
SANTA CLARITA,6220044A,2366,10,N,0,VBM PORTION,133,34,89
SANTA CLARITA,6220044A,2366,10,N,1012,TOTAL,228,58,149
SANTA CLARITA,6220046B,2367,10,N,958,POLLING PLACE,48,10,32
SANTA CLARITA,6220046B,2367,10,N,0,VBM PORTION,67,20,45
SANTA CLARITA,6220046B,2367,10,N,958,TOTAL,115,30,77
SANTA CLARITA,6220047A,2368,10,N,1089,POLLING PLACE,97,30,59
SANTA CLARITA,6220047A,2368,10,N,0,VBM PORTION,140,37,90
SANTA CLARITA,6220047A,2368,10,N,1089,TOTAL,237,67,149
SANTA CLARITA,6220049A,2369,10,N,1026,POLLING PLACE,108,29,71
SANTA CLARITA,6220049A,2369,10,N,0,VBM PORTION,135,38,92
SANTA CLARITA,6220049A,2369,10,N,1026,TOTAL,243,67,163
SANTA CLARITA,6220051A,2370,10,N,992,POLLING PLACE,60,17,42
SANTA CLARITA,6220051A,2370,10,N,0,VBM PORTION,128,42,70
SANTA CLARITA,6220051A,2370,10,N,992,TOTAL,188,59,112
SANTA CLARITA,6220052A,2371,10,N,724,POLLING PLACE,119,24,88
SANTA CLARITA,6220052A,2371,10,N,0,VBM PORTION,78,11,66
SANTA CLARITA,6220052A,2371,10,N,724,TOTAL,197,35,154
SANTA CLARITA,6220053A,2372,10,N,1119,POLLING PLACE,115,24,81
SANTA CLARITA,6220053A,2372,10,N,0,VBM PORTION,118,29,79
SANTA CLARITA,6220053A,2372,10,N,1119,TOTAL,233,53,160
SANTA CLARITA,6220054A,2373,10,N,1088,POLLING PLACE,128,23,85
SANTA CLARITA,6220054A,2373,10,N,0,VBM PORTION,104,28,61
SANTA CLARITA,6220054A,2373,10,N,1088,TOTAL,232,51,146
SANTA CLARITA,6220055A,2374,10,N,1216,POLLING PLACE,137,32,101
SANTA CLARITA,6220055A,2374,10,N,0,VBM PORTION,123,26,85
SANTA CLARITA,6220055A,2374,10,N,1216,TOTAL,260,58,186
SANTA CLARITA,6220061A,2375,10,N,1210,POLLING PLACE,145,20,112
SANTA CLARITA,6220061A,2375,10,N,0,VBM PORTION,109,40,64
SANTA CLARITA,6220061A,2375,10,N,1210,TOTAL,254,60,176
SANTA CLARITA,6220063A,2376,10,N,1408,POLLING PLACE,109,18,82
SANTA CLARITA,6220063A,2376,10,N,0,VBM PORTION,131,35,86
SANTA CLARITA,6220063A,2376,10,N,1408,TOTAL,240,53,168
SANTA CLARITA,6220064B,2377,10,N,604,POLLING PLACE,67,13,45
SANTA CLARITA,6220064B,2377,10,N,0,VBM PORTION,64,25,34
SANTA CLARITA,6220064B,2377,10,N,604,TOTAL,131,38,79
SANTA CLARITA,6220065A,2378,10,N,1249,POLLING PLACE,111,33,72
SANTA CLARITA,6220065A,2378,10,N,0,VBM PORTION,132,49,72
SANTA CLARITA,6220065A,2378,10,N,1249,TOTAL,243,82,144
SANTA CLARITA,6220067A,2379,10,N,1297,POLLING PLACE,98,23,67
SANTA CLARITA,6220067A,2379,10,N,0,VBM PORTION,137,44,75
SANTA CLARITA,6220067A,2379,10,N,1297,TOTAL,235,67,142
SANTA CLARITA,6220069A,2380,10,N,1307,POLLING PLACE,105,23,78
SANTA CLARITA,6220069A,2380,10,N,0,VBM PORTION,77,26,45
SANTA CLARITA,6220069A,2380,10,N,1307,TOTAL,182,49,123
SANTA CLARITA,6220071A,2381,10,N,1002,POLLING PLACE,80,20,53
SANTA CLARITA,6220071A,2381,10,N,0,VBM PORTION,98,36,58
SANTA CLARITA,6220071A,2381,10,N,1002,TOTAL,178,56,111
SANTA CLARITA,6220073B,2382,10,N,1086,POLLING PLACE,60,25,32
SANTA CLARITA,6220073B,2382,10,N,0,VBM PORTION,84,36,38
SANTA CLARITA,6220073B,2382,10,N,1086,TOTAL,144,61,70
SANTA CLARITA,6220074A,2383,10,N,1237,POLLING PLACE,91,32,53
SANTA CLARITA,6220074A,2383,10,N,0,VBM PORTION,87,37,46
SANTA CLARITA,6220074A,2383,10,N,1237,TOTAL,178,69,99
SANTA CLARITA,6220075A,2384,10,N,1262,POLLING PLACE,112,20,82
SANTA CLARITA,6220075A,2384,10,N,0,VBM PORTION,124,36,73
SANTA CLARITA,6220075A,2384,10,N,1262,TOTAL,236,56,155
SANTA CLARITA,6220076A,2385,10,N,1468,POLLING PLACE,282,89,158
SANTA CLARITA,6220076A,2385,10,N,0,VBM PORTION,398,119,229
SANTA CLARITA,6220076A,2385,10,N,1468,TOTAL,680,208,387
SANTA CLARITA,6220078A,2386,10,N,937,POLLING PLACE,60,11,47
SANTA CLARITA,6220078A,2386,10,N,0,VBM PORTION,79,26,43
SANTA CLARITA,6220078A,2386,10,N,937,TOTAL,139,37,90
SANTA CLARITA,6220080A,2387,10,N,1214,POLLING PLACE,96,25,62
SANTA CLARITA,6220080A,2387,10,N,0,VBM PORTION,122,34,83
SANTA CLARITA,6220080A,2387,10,N,1214,TOTAL,218,59,145
SANTA CLARITA,6220081A,2388,10,N,1076,POLLING PLACE,108,32,66
SANTA CLARITA,6220081A,2388,10,N,0,VBM PORTION,112,39,60
SANTA CLARITA,6220081A,2388,10,N,1076,TOTAL,220,71,126
SANTA CLARITA,6220081C,6146,10,Y,201,POLLING PLACE,0,0,0
SANTA CLARITA,6220081C,6146,10,Y,0,VBM PORTION,37,16,17
SANTA CLARITA,6220081C,6146,10,Y,201,TOTAL,37,16,17
SANTA CLARITA,6220082C,6147,10,Y,0,POLLING PLACE,0,0,0
SANTA CLARITA,6220082C,6147,10,Y,0,VBM PORTION,0,0,0
SANTA CLARITA,6220082C,6147,10,Y,0,TOTAL,0,0,0
SANTA CLARITA,6220083A,2389,10,N,898,POLLING PLACE,36,14,17
SANTA CLARITA,6220083A,2389,10,N,0,VBM PORTION,84,36,40
SANTA CLARITA,6220083A,2389,10,N,898,TOTAL,120,50,57
SANTA CLARITA,6220086A,2390,10,N,1330,POLLING PLACE,97,34,57
SANTA CLARITA,6220086A,2390,10,N,0,VBM PORTION,83,21,54
SANTA CLARITA,6220086A,2390,10,N,1330,TOTAL,180,55,111
SANTA CLARITA,6220087A,2391,10,N,962,POLLING PLACE,81,24,52
SANTA CLARITA,6220087A,2391,10,N,0,VBM PORTION,133,30,94
SANTA CLARITA,6220087A,2391,10,N,962,TOTAL,214,54,146
SANTA CLARITA,6220088A,2392,10,N,904,POLLING PLACE,88,31,52
SANTA CLARITA,6220088A,2392,10,N,0,VBM PORTION,116,26,81
SANTA CLARITA,6220088A,2392,10,N,904,TOTAL,204,57,133
SANTA CLARITA,6220090A,2393,10,N,949,POLLING PLACE,135,23,101
SANTA CLARITA,6220090A,2393,10,N,0,VBM PORTION,159,27,110
SANTA CLARITA,6220090A,2393,10,N,949,TOTAL,294,50,211
SANTA CLARITA,6220091A,2394,10,N,927,POLLING PLACE,132,25,96
SANTA CLARITA,6220091A,2394,10,N,0,VBM PORTION,117,21,91
SANTA CLARITA,6220091A,2394,10,N,927,TOTAL,249,46,187
SANTA CLARITA,6220093A,2395,10,N,996,POLLING PLACE,112,31,70
SANTA CLARITA,6220093A,2395,10,N,0,VBM PORTION,152,39,90
SANTA CLARITA,6220093A,2395,10,N,996,TOTAL,264,70,160
SANTA CLARITA,6220094A,2396,10,N,923,POLLING PLACE,46,16,27
SANTA CLARITA,6220094A,2396,10,N,0,VBM PORTION,64,25,33
SANTA CLARITA,6220094A,2396,10,N,923,TOTAL,110,41,60
SANTA CLARITA,6220096A,2397,10,N,1226,POLLING PLACE,100,26,66
SANTA CLARITA,6220096A,2397,10,N,0,VBM PORTION,92,27,53
SANTA CLARITA,6220096A,2397,10,N,1226,TOTAL,192,53,119
SANTA CLARITA,6220098B,2398,10,N,1393,POLLING PLACE,115,37,73
SANTA CLARITA,6220098B,2398,10,N,0,VBM PORTION,193,47,121
SANTA CLARITA,6220098B,2398,10,N,1393,TOTAL,308,84,194
SANTA CLARITA,6220101B,2399,10,N,1222,POLLING PLACE,132,29,89
SANTA CLARITA,6220101B,2399,10,N,0,VBM PORTION,167,52,99
SANTA CLARITA,6220101B,2399,10,N,1222,TOTAL,299,81,188
SANTA CLARITA,6220102A,2400,10,N,1318,POLLING PLACE,122,39,80
SANTA CLARITA,6220102A,2400,10,N,0,VBM PORTION,132,47,73
SANTA CLARITA,6220102A,2400,10,N,1318,TOTAL,254,86,153
SANTA CLARITA,6220103A,2401,10,N,881,POLLING PLACE,107,24,60
SANTA CLARITA,6220103A,2401,10,N,0,VBM PORTION,167,41,114
SANTA CLARITA,6220103A,2401,10,N,881,TOTAL,274,65,174
SANTA CLARITA,6220105A,2402,10,N,868,POLLING PLACE,88,15,64
SANTA CLARITA,6220105A,2402,10,N,0,VBM PORTION,95,29,57
SANTA CLARITA,6220105A,2402,10,N,868,TOTAL,183,44,121
SANTA CLARITA,6220106A,2403,10,N,1043,POLLING PLACE,130,32,92
SANTA CLARITA,6220106A,2403,10,N,0,VBM PORTION,90,24,54
SANTA CLARITA,6220106A,2403,10,N,1043,TOTAL,220,56,146
SANTA CLARITA,6220107A,2404,10,N,1398,POLLING PLACE,96,24,66
SANTA CLARITA,6220107A,2404,10,N,0,VBM PORTION,159,39,104
SANTA CLARITA,6220107A,2404,10,N,1398,TOTAL,255,63,170
SANTA CLARITA,6220108A,2405,10,N,925,POLLING PLACE,66,18,46
SANTA CLARITA,6220108A,2405,10,N,0,VBM PORTION,99,31,59
SANTA CLARITA,6220108A,2405,10,N,925,TOTAL,165,49,105
SANTA CLARITA,6220109A,2406,10,N,1511,POLLING PLACE,90,29,54
SANTA CLARITA,6220109A,2406,10,N,0,VBM PORTION,253,72,152
SANTA CLARITA,6220109A,2406,10,N,1511,TOTAL,343,101,206
SANTA CLARITA,6220113A,2407,10,N,817,POLLING PLACE,124,40,71
SANTA CLARITA,6220113A,2407,10,N,0,VBM PORTION,108,32,67
SANTA CLARITA,6220113A,2407,10,N,817,TOTAL,232,72,138
SANTA CLARITA,6220114A,2408,10,N,1250,POLLING PLACE,73,20,51
SANTA CLARITA,6220114A,2408,10,N,0,VBM PORTION,103,24,68
SANTA CLARITA,6220114A,2408,10,N,1250,TOTAL,176,44,119
SANTA CLARITA,6220115A,2409,10,N,1017,POLLING PLACE,105,19,79
SANTA CLARITA,6220115A,2409,10,N,0,VBM PORTION,82,26,47
SANTA CLARITA,6220115A,2409,10,N,1017,TOTAL,187,45,126
SANTA CLARITA,6220116A,2410,10,N,1081,POLLING PLACE,86,26,56
SANTA CLARITA,6220116A,2410,10,N,0,VBM PORTION,117,22,85
SANTA CLARITA,6220116A,2410,10,N,1081,TOTAL,203,48,141
SANTA CLARITA,6220118A,2411,10,N,813,POLLING PLACE,21,5,14
SANTA CLARITA,6220118A,2411,10,N,0,VBM PORTION,45,21,18
SANTA CLARITA,6220118A,2411,10,N,813,TOTAL,66,26,32
SANTA CLARITA,6220126A,2412,10,N,1099,POLLING PLACE,97,31,54
SANTA CLARITA,6220126A,2412,10,N,0,VBM PORTION,135,41,73
SANTA CLARITA,6220126A,2412,10,N,1099,TOTAL,232,72,127
SANTA CLARITA,6220127A,2413,10,N,709,POLLING PLACE,29,12,14
SANTA CLARITA,6220127A,2413,10,N,0,VBM PORTION,53,14,35
SANTA CLARITA,6220127A,2413,10,N,709,TOTAL,82,26,49
SANTA CLARITA,6220132A,2414,10,N,597,POLLING PLACE,50,11,34
SANTA CLARITA,6220132A,2414,10,N,0,VBM PORTION,68,21,41
SANTA CLARITA,6220132A,2414,10,N,597,TOTAL,118,32,75
SANTA CLARITA,6220135A,2415,10,N,920,POLLING PLACE,77,21,49
SANTA CLARITA,6220135A,2415,10,N,0,VBM PORTION,108,34,67
SANTA CLARITA,6220135A,2415,10,N,920,TOTAL,185,55,116
SANTA CLARITA,6220136A,2416,10,N,1297,POLLING PLACE,116,37,70
SANTA CLARITA,6220136A,2416,10,N,0,VBM PORTION,176,45,111
SANTA CLARITA,6220136A,2416,10,N,1297,TOTAL,292,82,181
SANTA CLARITA,6220139A,2417,10,N,1297,POLLING PLACE,87,29,52
SANTA CLARITA,6220139A,2417,10,N,0,VBM PORTION,124,41,73
SANTA CLARITA,6220139A,2417,10,N,1297,TOTAL,211,70,125
SANTA CLARITA,6220141A,2418,10,N,817,POLLING PLACE,68,24,36
SANTA CLARITA,6220141A,2418,10,N,0,VBM PORTION,95,29,56
SANTA CLARITA,6220141A,2418,10,N,817,TOTAL,163,53,92
SANTA CLARITA,6220142A,2419,10,N,1307,POLLING PLACE,101,33,66
SANTA CLARITA,6220142A,2419,10,N,0,VBM PORTION,94,31,55
SANTA CLARITA,6220142A,2419,10,N,1307,TOTAL,195,64,121
SANTA CLARITA,6220145A,2420,10,N,1178,POLLING PLACE,93,23,60
SANTA CLARITA,6220145A,2420,10,N,0,VBM PORTION,110,22,82
SANTA CLARITA,6220145A,2420,10,N,1178,TOTAL,203,45,142
SANTA CLARITA,6220146A,2421,10,N,1374,POLLING PLACE,120,32,80
SANTA CLARITA,6220146A,2421,10,N,0,VBM PORTION,147,30,101
SANTA CLARITA,6220146A,2421,10,N,1374,TOTAL,267,62,181
SANTA CLARITA,6220148A,2422,10,N,1451,POLLING PLACE,131,29,89
SANTA CLARITA,6220148A,2422,10,N,0,VBM PORTION,253,70,157
SANTA CLARITA,6220148A,2422,10,N,1451,TOTAL,384,99,246
SANTA CLARITA,6220149A,2423,10,N,820,POLLING PLACE,54,21,30
SANTA CLARITA,6220149A,2423,10,N,0,VBM PORTION,60,20,38
SANTA CLARITA,6220149A,2423,10,N,820,TOTAL,114,41,68
SANTA CLARITA,6220155A,2424,10,N,641,POLLING PLACE,48,18,28
SANTA CLARITA,6220155A,2424,10,N,0,VBM PORTION,82,23,54
SANTA CLARITA,6220155A,2424,10,N,641,TOTAL,130,41,82
SANTA CLARITA,6220160A,2425,10,N,1037,POLLING PLACE,63,15,39
SANTA CLARITA,6220160A,2425,10,N,0,VBM PORTION,76,26,36
SANTA CLARITA,6220160A,2425,10,N,1037,TOTAL,139,41,75
SANTA CLARITA,6220161A,2426,10,N,1249,POLLING PLACE,36,21,11
SANTA CLARITA,6220161A,2426,10,N,0,VBM PORTION,30,12,16
SANTA CLARITA,6220161A,2426,10,N,1249,TOTAL,66,33,27
SANTA CLARITA,6220163A,2427,10,N,1162,POLLING PLACE,52,16,32
SANTA CLARITA,6220163A,2427,10,N,0,VBM PORTION,75,32,37
SANTA CLARITA,6220163A,2427,10,N,1162,TOTAL,127,48,69
SANTA CLARITA,6220164A,2428,10,N,1048,POLLING PLACE,67,24,36
SANTA CLARITA,6220164A,2428,10,N,0,VBM PORTION,106,45,58
SANTA CLARITA,6220164A,2428,10,N,1048,TOTAL,173,69,94
SANTA CLARITA,6220168A,6150,10,Y,315,POLLING PLACE,0,0,0
SANTA CLARITA,6220168A,6150,10,Y,0,VBM PORTION,56,12,41
SANTA CLARITA,6220168A,6150,10,Y,315,TOTAL,56,12,41
SANTA CLARITA,6220182A,2435,10,N,995,POLLING PLACE,110,27,74
SANTA CLARITA,6220182A,2435,10,N,0,VBM PORTION,126,32,84
SANTA CLARITA,6220182A,2435,10,N,995,TOTAL,236,59,158
SANTA CLARITA,6220183A,2436,10,N,1006,POLLING PLACE,66,22,40
SANTA CLARITA,6220183A,2436,10,N,0,VBM PORTION,119,36,70
SANTA CLARITA,6220183A,2436,10,N,1006,TOTAL,185,58,110
SANTA CLARITA,6220185A,6151,10,Y,437,POLLING PLACE,0,0,0
SANTA CLARITA,6220185A,6151,10,Y,0,VBM PORTION,186,57,107
SANTA CLARITA,6220185A,6151,10,Y,437,TOTAL,186,57,107
SANTA CLARITA,6220186A,2437,10,N,697,POLLING PLACE,84,23,55
SANTA CLARITA,6220186A,2437,10,N,0,VBM PORTION,82,21,55
