LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEOFF RIZZO,KURT WEIDEMAN,AURELIO MATTUCCI,RYAN MAND,L KIMMEL-DAGOSTINO,RAHMAT KHAN,JOHN PAUL TABAKIAN,CLINT A PAULSON,MILTON HERRING,HEIDI ANN ASHCRAFT,OMAR NAVARRO,MIKE GRIFFITHS,TIM GOODRICH,CHARLOTTE A SVOLOS,ALEX M SEE,NORM SEGEL
TORRANCE,7150028A,2673,185,N,0,VBM PORTION,148,46,46,10,13,38,19,13,12,32,62,4,26,43,26,29,4
TORRANCE,7150028A,2673,185,N,1089,TOTAL,279,75,85,29,22,70,40,16,22,64,104,14,59,81,42,55,8
TORRANCE,7150029A,2674,185,N,1152,POLLING PLACE,110,35,30,17,5,33,7,11,12,21,44,3,18,44,22,32,2
TORRANCE,7150029A,2674,185,N,0,VBM PORTION,145,46,41,13,16,28,10,10,21,23,44,5,17,43,30,21,7
TORRANCE,7150029A,2674,185,N,1152,TOTAL,255,81,71,30,21,61,17,21,33,44,88,8,35,87,52,53,9
TORRANCE,7150031B,2675,180,N,1021,POLLING PLACE,225,40,56,33,9,47,19,18,33,39,103,2,44,105,28,37,5
TORRANCE,7150031B,2675,180,N,0,VBM PORTION,177,29,60,15,6,36,8,13,14,26,89,0,25,80,14,42,2
TORRANCE,7150031B,2675,180,N,1021,TOTAL,402,69,116,48,15,83,27,31,47,65,192,2,69,185,42,79,7
TORRANCE,7150032A,2676,180,N,980,POLLING PLACE,140,19,40,19,12,27,33,5,13,19,69,4,27,66,12,22,3
TORRANCE,7150032A,2676,180,N,0,VBM PORTION,125,31,45,16,5,20,17,6,14,20,53,1,16,72,6,33,0
TORRANCE,7150032A,2676,180,N,980,TOTAL,265,50,85,35,17,47,50,11,27,39,122,5,43,138,18,55,3
TORRANCE,7150033A,2677,185,N,1297,POLLING PLACE,126,32,29,26,8,41,21,5,7,31,46,5,29,40,17,24,4
TORRANCE,7150033A,2677,185,N,0,VBM PORTION,102,32,30,21,4,41,12,10,6,23,28,8,26,23,20,26,5
TORRANCE,7150033A,2677,185,N,1297,TOTAL,228,64,59,47,12,82,33,15,13,54,74,13,55,63,37,50,9
TORRANCE,7150037A,2678,180,N,956,POLLING PLACE,208,68,60,36,9,49,20,10,22,51,105,9,36,101,15,36,8
TORRANCE,7150037A,2678,180,N,0,VBM PORTION,131,35,43,22,7,25,21,2,14,25,42,0,22,68,12,28,4
TORRANCE,7150037A,2678,180,N,956,TOTAL,339,103,103,58,16,74,41,12,36,76,147,9,58,169,27,64,12
TORRANCE,7150038A,2679,180,N,1203,POLLING PLACE,243,73,68,23,9,60,21,16,27,58,111,8,48,102,28,71,3
TORRANCE,7150038A,2679,180,N,0,VBM PORTION,228,77,68,48,5,64,8,12,27,50,89,5,34,88,19,51,7
TORRANCE,7150038A,2679,180,N,1203,TOTAL,471,150,136,71,14,124,29,28,54,108,200,13,82,190,47,122,10
TORRANCE,7150039A,2680,180,N,1026,POLLING PLACE,82,15,23,12,4,18,7,2,7,20,28,0,15,26,9,21,2
TORRANCE,7150039A,2680,180,N,0,VBM PORTION,125,22,43,21,8,34,5,5,22,24,45,4,18,22,22,38,7
TORRANCE,7150039A,2680,180,N,1026,TOTAL,207,37,66,33,12,52,12,7,29,44,73,4,33,48,31,59,9
TORRANCE,7150041A,2681,185,N,1266,POLLING PLACE,139,37,55,17,8,41,33,7,14,29,51,6,37,53,16,30,5
TORRANCE,7150041A,2681,185,N,0,VBM PORTION,175,64,57,15,11,69,22,16,18,36,66,0,32,45,27,34,3
TORRANCE,7150041A,2681,185,N,1266,TOTAL,314,101,112,32,19,110,55,23,32,65,117,6,69,98,43,64,8
TORRANCE,7150046A,2682,180,N,1317,POLLING PLACE,219,65,65,30,6,44,22,22,25,29,93,2,32,98,27,41,6
TORRANCE,7150046A,2682,180,N,0,VBM PORTION,158,51,55,17,9,35,19,6,25,38,62,5,23,64,20,28,6
TORRANCE,7150046A,2682,180,N,1317,TOTAL,377,116,120,47,15,79,41,28,50,67,155,7,55,162,47,69,12
TORRANCE,7150048A,2683,185,N,1320,POLLING PLACE,102,34,36,30,5,15,18,9,17,14,36,9,16,35,21,16,4
TORRANCE,7150048A,2683,185,N,0,VBM PORTION,96,24,30,22,6,24,10,9,10,17,24,5,22,25,11,21,4
TORRANCE,7150048A,2683,185,N,1320,TOTAL,198,58,66,52,11,39,28,18,27,31,60,14,38,60,32,37,8
TORRANCE,7150049A,2684,185,N,1024,POLLING PLACE,159,45,56,37,8,58,16,20,7,40,62,3,43,54,12,42,3
TORRANCE,7150049A,2684,185,N,0,VBM PORTION,146,51,38,35,8,44,10,14,14,46,52,1,32,38,13,32,2
TORRANCE,7150049A,2684,185,N,1024,TOTAL,305,96,94,72,16,102,26,34,21,86,114,4,75,92,25,74,5
TORRANCE,7150050A,2685,180,N,1028,POLLING PLACE,156,59,54,24,6,33,19,8,41,25,61,2,26,41,13,25,6
TORRANCE,7150050A,2685,180,N,0,VBM PORTION,152,78,52,20,6,33,5,5,25,30,73,4,39,30,12,21,2
TORRANCE,7150050A,2685,180,N,1028,TOTAL,308,137,106,44,12,66,24,13,66,55,134,6,65,71,25,46,8
TORRANCE,7150051B,2686,185,N,1102,POLLING PLACE,126,42,44,19,6,30,8,19,13,37,61,5,30,43,19,18,6
TORRANCE,7150051B,2686,185,N,0,VBM PORTION,148,59,59,23,6,46,11,5,9,33,54,5,23,60,16,34,5
TORRANCE,7150051B,2686,185,N,1102,TOTAL,274,101,103,42,12,76,19,24,22,70,115,10,53,103,35,52,11
TORRANCE,7150055A,2687,185,N,911,POLLING PLACE,111,44,38,24,1,29,10,6,11,19,45,0,32,45,7,15,1
TORRANCE,7150055A,2687,185,N,0,VBM PORTION,130,39,37,27,9,23,18,12,9,22,37,2,27,34,26,28,4
TORRANCE,7150055A,2687,185,N,911,TOTAL,241,83,75,51,10,52,28,18,20,41,82,2,59,79,33,43,5
TORRANCE,7150056A,2688,185,N,1075,POLLING PLACE,194,60,70,35,16,40,28,9,23,41,71,4,42,75,20,21,3
TORRANCE,7150056A,2688,185,N,0,VBM PORTION,137,37,53,25,10,42,10,9,8,21,39,4,32,48,20,34,5
TORRANCE,7150056A,2688,185,N,1075,TOTAL,331,97,123,60,26,82,38,18,31,62,110,8,74,123,40,55,8
TORRANCE,7150058A,2689,185,N,1161,POLLING PLACE,137,37,46,39,9,32,6,16,27,28,43,8,26,50,26,26,9
TORRANCE,7150058A,2689,185,N,0,VBM PORTION,105,33,22,17,7,22,11,7,8,15,34,2,12,33,12,18,2
TORRANCE,7150058A,2689,185,N,1161,TOTAL,242,70,68,56,16,54,17,23,35,43,77,10,38,83,38,44,11
TORRANCE,7150061A,2690,182,N,1306,POLLING PLACE,163,46,52,25,5,51,14,11,17,34,55,6,29,64,17,44,4
TORRANCE,7150061A,2690,182,N,0,VBM PORTION,176,52,51,32,7,48,10,29,24,39,60,5,32,39,29,29,5
TORRANCE,7150061A,2690,182,N,1306,TOTAL,339,98,103,57,12,99,24,40,41,73,115,11,61,103,46,73,9
TORRANCE,7150064A,2691,182,N,1292,POLLING PLACE,255,67,110,59,12,61,16,40,17,55,108,5,71,120,23,50,6
TORRANCE,7150064A,2691,182,N,0,VBM PORTION,250,59,102,38,9,65,18,33,21,50,104,3,59,98,33,69,10
TORRANCE,7150064A,2691,182,N,1292,TOTAL,505,126,212,97,21,126,34,73,38,105,212,8,130,218,56,119,16
TORRANCE,7150065A,2692,182,N,1043,POLLING PLACE,101,31,33,21,6,28,12,9,12,21,39,2,31,36,13,22,1
TORRANCE,7150065A,2692,182,N,0,VBM PORTION,169,40,44,26,13,40,17,11,20,38,55,0,46,33,25,38,1
TORRANCE,7150065A,2692,182,N,1043,TOTAL,270,71,77,47,19,68,29,20,32,59,94,2,77,69,38,60,2
TORRANCE,7150067A,2693,182,N,1355,POLLING PLACE,217,72,73,47,10,54,21,24,25,49,79,4,48,77,22,47,8
TORRANCE,7150067A,2693,182,N,0,VBM PORTION,224,80,87,47,16,54,16,22,19,44,88,0,43,64,20,38,3
TORRANCE,7150067A,2693,182,N,1355,TOTAL,441,152,160,94,26,108,37,46,44,93,167,4,91,141,42,85,11
TORRANCE,7150068B,2694,182,N,1173,POLLING PLACE,180,41,81,38,4,54,19,13,17,46,88,1,37,69,15,38,2
