"","schoolname","n","year"
"475","Emerson","*","2015-2016"
"476","EPHS","106","2015-2016"
"477","Franklin","85","2015-2016"
"478","Fremont","*","2015-2016"
"479","Gant","*","2015-2016"
"480","Garfield","70","2015-2016"
"481","Gompers","34","2015-2016"
"482","Grant","34","2015-2016"
"483","Hamilton","76","2015-2016"
"484","Harte","*","2015-2016"
"485","Henry","*","2015-2016"
"486","Hill","20","2015-2016"
"487","Holmes","81","2015-2016"
"488","Home/Hospital","*","2015-2016"
"489","Hoover","50","2015-2016"
"490","Hudson","60","2015-2016"
"491","Hughes","70","2015-2016"
"492","International","33","2015-2016"
"493","Jefferson","60","2015-2016"
"494","Jordan","222","2015-2016"
"495","Jordan Academy","35","2015-2016"
"496","Keller","*","2015-2016"
"497","Kettering","21","2015-2016"
"498","King","42","2015-2016"
"499","Lafayette","33","2015-2016"
"500","Lakewood","167","2015-2016"
"501","Lee","14","2015-2016"
"502","Lincoln","18","2015-2016"
"503","Lindbergh STEM Academy","52","2015-2016"
"504","Lindsey","106","2015-2016"
"505","Longfellow","*","2015-2016"
"506","Los Cerritos","*","2015-2016"
"507","Lowell","*","2015-2016"
"508","Macarthur","*","2015-2016"
"509","Madison","*","2015-2016"
"510","Mann","11","2015-2016"
"511","Marshall","31","2015-2016"
"512","McBride","11","2015-2016"
"513","McKinley","26","2015-2016"
"514","Millikan","156","2015-2016"
"515","Muir","18","2015-2016"
"516","Naples","*","2015-2016"
"517","Nelson","83","2015-2016"
"518","Newcomb","*","2015-2016"
"519","PAAL","35","2015-2016"
"520","Polytechnic","221","2015-2016"
"521","Powell","36","2015-2016"
"522","Prisk","*","2015-2016"
"523","Reid","34","2015-2016"
"524","Renaissance High School For the Arts","24","2015-2016"
"525","Riley","*","2015-2016"
"526","Robinson","29","2015-2016"
"527","Rogers","13","2015-2016"
"528","Roosevelt","30","2015-2016"
"529","Signal Hill","25","2015-2016"
"530","Smith","47","2015-2016"
"531","Stanford","48","2015-2016"
"532","Stephens","83","2015-2016"
"533","Stevenson","39","2015-2016"
"534","Tincher","13","2015-2016"
"535","Twain","*","2015-2016"
"536","Washington","110","2015-2016"
"537","Webster","*","2015-2016"
"538","Whittier","35","2015-2016"
"539","Willard","15","2015-2016"
"540","Wilson","160","2015-2016"
"542","*An asterisk appears in fields to protect student privacy when 10 or fewer students are reported.",NA,"2015-2016"
"NA.5",NA,NA,NA
