LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LELAND YEE,DEREK CRESSMAN,DAVID CURTIS,ALEX PADILLA,PETE PETERSON,JEFFREY H DROBMAN,ROY ALLMOND,DAN SCHNUR
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,736,1331,541,9315,1690,394,273,441
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,925,743,366,5597,1421,286,262,474
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,1661,2074,907,14912,3111,680,535,915
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,219,322,67,1570,691,104,132,94
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,296,222,58,1299,710,101,151,255
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,515,544,125,2869,1401,205,283,349
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,1041,1029,300,5227,973,543,251,315
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,1562,638,215,3150,993,460,263,336
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,2603,1667,515,8377,1966,1003,514,651
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,1924,3467,703,11620,3019,1049,637,1079
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,2418,2724,569,9312,2938,1096,617,1272
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,4342,6191,1272,20932,5957,2145,1254,2351
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,574,349,89,1762,1692,170,508,399
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,1099,327,87,1842,2144,264,553,661
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,1673,676,176,3604,3836,434,1061,1060
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,1108,1186,339,6448,5052,342,817,658
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,1577,905,263,4881,4716,417,718,1124
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,2685,2091,602,11329,9768,759,1535,1782
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,870,1402,358,6997,3785,444,677,670
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,1186,953,237,4779,3099,436,594,849
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,2056,2355,595,11776,6884,880,1271,1519
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,453,535,236,6279,353,342,113,121
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,536,477,97,3373,225,204,68,89
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,989,1012,333,9652,578,546,181,210
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,1574,2408,586,10039,3184,1312,963,947
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,1689,1727,392,6177,2755,1128,813,1111
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,3263,4135,978,16216,5939,2440,1776,2058
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,958,874,276,4880,2042,279,780,454
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,1007,598,188,3364,1722,298,693,508
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,1965,1472,464,8244,3764,577,1473,962
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,1296,1013,276,8908,1119,426,227,235
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,1437,848,158,5208,993,403,206,279
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,2733,1861,434,14116,2112,829,433,514
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,2024,2321,749,8049,11980,760,1262,2336
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,3250,1830,628,7911,11577,971,1372,2916
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,5274,4151,1377,15960,23557,1731,2634,5252
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,2312,2886,885,8638,5662,1590,1844,1586
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,2644,2243,701,7716,6470,1400,1736,2126
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,4956,5129,1586,16354,12132,2990,3580,3712
