LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,14379,4012,8933
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,7260,1625,4760
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,5436,1341,3986
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,12696,2966,8746
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,3968,1076,2788
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,1971,729,1910
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,5939,1805,4698
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,7751,2075,9037
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,5466,1731,6611
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,13217,3806,15648
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,4916,1272,3581
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,3617,1061,2924
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,8533,2333,6505
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,5366,1542,5665
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,3211,1261,4231
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,8577,2803,9896
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,13501,2979,9014
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,12957,3152,9376
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,26458,6131,18390
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,10912,2461,8551
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,10559,2446,8683
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,21471,4907,17234
