LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,366,2115,1263,1850,271,19661,7662,774
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,322,1797,1301,1908,290,20412,8066,592
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,688,3912,2564,3758,561,40073,15728,1366
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,499,1925,1762,1578,255,9815,5274,637
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,360,1741,1428,1346,206,9505,4687,412
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,859,3666,3190,2924,461,19320,9961,1049
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,422,4055,2241,3539,403,31249,9930,1377
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,435,3928,1886,3744,325,28760,11452,921
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,857,7983,4127,7283,728,60009,21382,2298
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,330,864,1751,755,441,11631,1363,822
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,196,1055,1128,635,240,9344,1427,442
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,526,1919,2879,1390,681,20975,2790,1264
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,59,192,248,269,40,1758,514,105
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,30,242,193,252,35,1734,542,66
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,89,434,441,521,75,3492,1056,171
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,304,943,1733,796,489,25011,2384,859
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,174,953,1429,805,280,21247,2603,564
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,478,1896,3162,1601,769,46258,4987,1423
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,500,2142,1953,1454,323,11085,5850,568
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,426,1998,1510,1307,242,10677,5629,410
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,926,4140,3463,2761,565,21762,11479,978
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,117,835,441,592,70,3126,2006,144
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,117,1453,415,657,63,3814,2472,121
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,234,2288,856,1249,133,6940,4478,265
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,383,832,1958,759,287,7398,2055,516
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,168,453,934,422,128,4808,1462,231
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,551,1285,2892,1181,415,12206,3517,747
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,339,2016,1565,1195,334,17297,4270,604
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,304,1804,1286,1006,257,13925,3951,444
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,643,3820,2851,2201,591,31222,8221,1048
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,380,816,2005,687,326,12121,1917,677
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,257,670,1187,522,214,9578,1865,330
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,637,1486,3192,1209,540,21699,3782,1007
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,342,1370,1381,1508,338,13598,4704,710
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,282,1202,1191,1384,261,13368,5591,483
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,624,2572,2572,2892,599,26966,10295,1193
