LENGTH,OWNER,LAST_UPDAT,STATUS,USE_TYPE,PIPE_DIAME,PIPE_DIA_1,PIPE_LENGT,PIPE_THICK,JOINT_METH,PIPE_TYPE,PIPE_MATER,PIPE_LININ,PIPE_PLR_Y,PIPE_LOGIC,SOILRES,LoF_G,CoF_G,BRE_G,GrDate
0, ,12/30/1899 0:00:00, ,TRUNK,84, ,29.99741106,0.5, , ,STL,CL,2003, ,2066,C,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,517.1976918,0.5, , ,STL,CL,2003, ,2080,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,276.5061719,0.5, , ,STL,CL,2003, ,1937,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,1751.164956,0.5, , ,STL,CL,2003, ,1857,C,C,C,20-Jun-13
0, ,, ,TRUNK,96, ,2214.51693,0.5, , ,STL,CL,2003, ,1919,C,D,C,20-Jun-13
0, ,, ,TRUNK,96, ,146.7599984,0.5, , ,STL,CL,2003, ,1743,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,1169.539944,0.5, , ,STL,CL,2003, ,1781,C,C,C,20-Jun-13
0, ,, ,TRUNK,96, ,69.71992895,0.5, , ,STL,CL,2003, ,1523,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,798.9798605,0.5, , ,STL,CL,2003, ,1516,C,F,D,20-Jun-13
0, ,, ,BO,24, ,6.083174634,0.375, , ,STL,CL,2003, ,1511,C,C,C,20-Jun-13
0, ,, ,BO,24, ,16.10006479,0.375, , ,STL,CL,2003, ,1511,C,C,C,20-Jun-13
0, ,, ,BO,24, ,6.567287754,0.375, , ,STL,CL,2003, ,1510,C,C,C,20-Jun-13
0, ,, ,BO,24, ,10.16429173,0.375, , ,STL,CL,2003, ,1510,C,C,C,20-Jun-13
0, ,, ,TRUNK,96, ,40.9902236,0.5, , ,STL,CL,2003, ,1510,C,F,D,20-Jun-13
0, ,, ,TRUNK,84, ,13.19169363,0.4375, , ,STL,CL,2003, ,1509,C,F,D,20-Jun-13
0, ,, ,TRUNK,84, ,4.241815202,0.4375, , ,STL,CL,2003, ,1509,C,F,D,20-Jun-13
0, ,, ,TRUNK,84, ,3.094740842,0.4375, , ,STL,CL,2003, ,1509,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,158.9706437,0.5, , ,STL,CL,2003, ,1539,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,22.34565678,0.5, , ,STL,CL,2003, ,1569,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,51.68433147,0.5, , ,STL,CL,2003, ,1506,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,205.2700265,0.5, , ,STL,CL,2003, ,1450,C,D,C,20-Jun-13
0, ,, ,TRUNK,96, ,350.0000036,0.5, , ,STL,CL,2003, ,1380,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,340.0799027,0.5, , ,STL,CL,2003, ,1250,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,409.4999334,0.5, , ,STL,CL,2003, ,1394,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,179.7400526,0.5, , ,STL,CL,2003, ,1541,C,C,C,20-Jun-13
0, ,, ,TRUNK,96, ,1039.949979,0.5, , ,STL,CL,2003, ,1697,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,10.00015934,0.5, , ,STL,CL,2003, ,1851,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,69.92991865,0.5, , ,STL,CL,2003, ,1850,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,219.5183691,0.5, , ,STL,CL,2003, ,1667,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,93.02786782,0.5, , ,STL,CL,2003, ,1551,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,39.4901743,0.5, , ,STL,CL,2003, ,1540,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,46.01917642,0.5, , ,STL,CL,2003, ,1543,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,22.00113869,0.5, , ,STL,CL,2003, ,1559,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,682.8890283,0.5, , ,STL,CL,2003, ,1583,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,127.7200648,0.5, , ,STL,CL,2003, ,1741,C,F,D,20-Jun-13
0, ,, ,BO,24, ,6.083498433,0.375, , ,STL,CL,2003, ,1889,C,C,C,20-Jun-13
0, ,, ,BO,24, ,16.10006905,0.375, , ,STL,CL,2003, ,1889,C,C,C,20-Jun-13
0, ,, ,BO,24, ,6.833460498,0.375, , ,STL,CL,2003, ,1889,C,C,C,20-Jun-13
0, ,, ,BO,24, ,9.897997985,0.375, , ,STL,CL,2003, ,1889,C,C,C,20-Jun-13
0, ,, ,TRUNK,96, ,28.94986904,0.5, , ,STL,CL,2003, ,1889,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,169.7864857,0.5, , ,STL,CL,2003, ,1885,C,C,C,20-Jun-13
0, ,, ,TRUNK,96, ,39.90686689,0.5, , ,STL,CL,2003, ,1886,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,173.2916924,0.5, , ,STL,CL,2003, ,1906,C,F,D,20-Jun-13
0, ,, ,TRUNK,96, ,63.07043225,0.5, , ,STL,CL,2003, ,1927,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,3.289968055,0.4375, , ,STL,CL,2003, ,1934,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,2.860470762,0.4375, , ,STL,CL,2003, ,1935,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,22.13927145,0.4375, , ,STL,CL,2003, ,1937,C,B,B,20-Jun-13
0, ,, ,TRUNK,60, ,19.88482176,0.375, , ,STL,CL,2003, ,1939,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,3.240095066,0.375, , ,STL,CL,2003, ,1939,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,2.799767686,0.375, , ,STL,CL,2003, ,1939,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,10.15830773,0.375, , ,STL,CL,2003, ,1939,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,16.77501183,0.4375, , ,STL,CL,2003, ,1940,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,3.224095364,0.4375, , ,STL,CL,2003, ,1941,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,2.956621044,0.4375, , ,STL,CL,2003, ,1942,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,496.5455497,0.4375, , ,STL,CL,2003, ,1860,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,385.3099689,0.4375, , ,STL,CL,2003, ,1783,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,10.004096,0.4375, , ,STL,CL,2003, ,1751,C,B,B,20-Jun-13
0, ,, ,TRUNK,84, ,52.29816391,0.4375, , ,STL,CL,2003, ,1717,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,90.6655506,0.4375, , ,STL,CL,2003, ,1675,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,152.7224654,0.4375, , ,STL,CL,2003, ,1648,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,264.3100007,0.4375, , ,STL,CL,2003, ,1655,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,142.8597828,0.4375, , ,STL,CL,2003, ,1737,C,C,C,20-Jun-13
0, ,, ,TRUNK,84, ,311.8299636,0.4375, , ,STL,CL,2003, ,1802,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,244.0002702,0.4375, , ,STL,CL,2003, ,1622,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,240.4497791,0.4375, , ,STL,CL,2003, ,1535,C,C,C,20-Jun-13
0, ,, ,TRUNK,84, ,394.5499846,0.4375, , ,STL,CL,2003, ,1450,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,28.49347116,0.4375, , ,STL,CL,2003, ,1332,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,129.6831797,0.4375, , ,STL,CL,2003, ,1309,C,C,C,20-Jun-13
0, ,, ,TRUNK,84, ,79.99975513,0.4375, , ,STL,CL,2003, ,1314,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,151.8237803,0.4375, , ,STL,CL,2003, ,1322,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,119.9999775,0.4375, , ,STL,CL,2003, ,1330,C,D,C,20-Jun-13
0, ,, ,TRUNK,84, ,72.92001394,0.4375, , ,STL,CL,2003, ,1430,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,43.83331164,0.375, , ,STL,CL,2003, ,1508,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,24.20211102,0.375, , ,STL,CL,2003, ,1507,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,3.954063507,0.375, , ,STL,CL,2003, ,1507,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,2.469364504,0.375, , ,STL,CL,2003, ,1507,C,D,C,20-Jun-13
0, ,, ,TRUNK,72, ,26.78694698,0.4375, , ,STL,CL,2003, ,1507,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,20.51517214,0.375, , ,STL,CL,2003, ,1482,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,28.992073,0.375, , ,STL,CL,2003, ,1494,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,3.739800602,0.375, , ,STL,CL,2003, ,1502,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,2.72102154,0.375, , ,STL,CL,2003, ,1502,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,16.19782974,0.375, , ,STL,CL,2003, ,1503,C,D,C,20-Jun-13
0, ,, ,TRUNK,72, ,13.75603044,0.4375, , ,STL,CL,2003, ,1504,C,D,C,20-Jun-13
0, ,, ,TRUNK,72, ,21.80654647,0.4375, , ,STL,CL,2003, ,1506,C,D,C,20-Jun-13
0, ,, ,TRUNK,72, ,22.97330841,0.4375, , ,STL,CL,2003, ,1508,C,D,C,20-Jun-13
0, ,, ,TRUNK,42, ,7.999986945,0.375, , ,STL,CL,2003, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,21.99980533,0.375, , ,STL,CL,2003, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,72, ,9.999818595,0.4375, , ,STL,CL,2003, ,1509,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,11.30340528,0.375, , ,STL,CL,2003, ,1511,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,3.880259761,0.375, , ,STL,CL,2003, ,1512,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,2.774150412,0.375, , ,STL,CL,2003, ,1512,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,16.21382969,0.375, , ,STL,CL,2003, ,1513,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,14.97002172,0.375, , ,STL,CL,2003, ,1515,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,20.56714551,0.375, , ,STL,CL,2003, ,1514,C,D,C,20-Jun-13
0, ,, ,TRUNK,96, ,10.49986908,0.5, , ,STL,CL,2003, ,1509,C,F,D,20-Jun-13
0, ,, ,TRUNK,84, ,9.981127843,0.4375, , ,STL,CL,2003, ,1508,C,F,D,20-Jun-13
0, ,, ,TRUNK,84, ,13.20940865,0.4375, , ,STL,CL,2003, ,1933,C,B,B,20-Jun-13
0, ,, ,TRUNK,60, ,21.79508989,0.375, , ,STL,CL,2003, ,1508,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,16.49608767,0.375, , ,STL,CL,2003, ,1507,C,D,C,20-Jun-13
0, ,, ,TRUNK,72, ,4.479361642,0.4375, , ,STL,CL,2003, ,1504,C,D,C,20-Jun-13
0, ,, ,TRUNK,72, ,9.548669589,0.4375, , ,STL,CL,2003, ,1510,C,D,C,20-Jun-13
0, ,, ,TRUNK,96, ,39.9950807,0.5, , ,STL,CL,2003, ,1878,C,F,D,20-Jun-13
0, ,, ,TRUNK,42, ,39.91708114,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,6.483708027,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,43.29232832,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,11.70480346,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,8.606949566,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,0.393388464,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,3.002294625,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,3.104263,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,6.896050606,0.4375, , ,STL,CL,2007, ,1509,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,529.9998263,0.4375, , ,STL,CL,2007, ,1626,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,10.00009522,0.4375, , ,STL,CL,2007, ,1538,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,10.00001296,0.4375, , ,STL,CL,2007, ,1538,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,84.31258261,0.4375, , ,STL,CL,2007, ,1543,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,348.6872992,0.4375, , ,STL,CL,2007, ,1604,C,C,C,20-Jun-13
0, ,, ,TRUNK,42, ,193.4757638,0.4375, , ,STL,CL,2007, ,1682,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,12.52437898,0.4375, , ,STL,CL,2007, ,1701,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,29.99982222,0.4375, , ,STL,CL,2007, ,1698,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,852.3079675,0.4375, , ,STL,CL,2007, ,1653,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,43.07009045,0.4375, , ,STL,CL,2007, ,1627,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,54.62203834,0.4375, , ,STL,CL,2007, ,1561,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,339.9997966,0.4375, , ,STL,CL,2007, ,1384,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,25.06626974,0.4375, , ,STL,CL,2007, ,1346,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,50.93145501,0.4375, , ,STL,CL,2007, ,1354,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,3.189626157,0.4375, , ,STL,CL,2007, ,1379,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,116.4452263,0.4375, , ,STL,CL,2007, ,1436,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,94.17861581,0.4375, , ,STL,CL,2007, ,1461,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,94.18490721,0.4375, , ,STL,CL,2007, ,1467,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,32.91952397,0.4375, , ,STL,CL,2007, ,1473,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,40.80332434,0.4375, , ,STL,CL,2007, ,1475,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,45.81947317,0.4375, , ,STL,CL,2007, ,1478,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,14.74968831,0.4375, , ,STL,CL,2007, ,1480,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,3.125052303,0.4375, , ,STL,CL,2007, ,1481,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,5.624888205,0.4375, , ,STL,CL,2007, ,1481,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,3.215321924,0.4375, , ,STL,CL,2007, ,1481,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,3.034807725,0.4375, , ,STL,CL,2007, ,1482,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,20.45531441,0.4375, , ,STL,CL,2007, ,1482,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,17.80076265,0.4375, , ,STL,CL,2007, ,1484,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,600.1998728,0.4375, , ,STL,CL,2007, ,1508,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,49.4646854,0.4375, , ,STL,CL,2007, ,1536,C,D,C,20-Jun-13
0, ,, ,TRUNK,42, ,11.00001544,0.4375, ,N/A,STL,CL,2007, ,1697,B,B,B,20-Jun-13
0, ,, ,TRUNK,42, ,20.00014472,0.4375, ,N/A,STL,CL,2007, ,1700,B,B,B,20-Jun-13
0, ,, ,TRUNK,60, ,13.03024937,0.4375, , ,STL,CL,2010, ,1940,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,15.7908787,0.4375, , ,STL,CL,2010, ,1941,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,17.88526518,0.4375, , ,STL,CL,2010, ,1943,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,7.019342914,0.4375, , ,STL,CL,2010, ,1945,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,3.37499325,0.4375, , ,STL,CL,2010, ,1946,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,3.37499325,0.4375, , ,STL,CL,2010, ,1947,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,27.34541775,0.4375, , ,STL,CL,2010, ,1937,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,17.28146149,0.4375, , ,STL,CL,2010, ,1905,B,B,B,20-Jun-13
0, ,, ,TRUNK,60, ,104.7657334,0.4375, , ,STL,CL,2010, ,1844,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,42.09864333,0.4375, , ,STL,CL,2010, ,1849,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,48.11373171,0.4375, , ,STL,CL,2010, ,1861,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,37.52971594,0.4375, , ,STL,CL,2010, ,1871,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,35.48926802,0.4375, , ,STL,CL,2010, ,1799,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,41.69225565,0.4375, , ,STL,CL,2010, ,1698,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,33.27743867,0.4375, , ,STL,CL,2010, ,1664,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,27.40489369,0.4375, , ,STL,CL,2010, ,1663,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,35.04561362,0.4375, , ,STL,CL,2010, ,1670,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,48.77849033,0.4375, , ,STL,CL,2010, ,1690,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,34.31763574,0.4375, , ,STL,CL,2010, ,1659,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,30.5381394,0.4375, , ,STL,CL,2010, ,1630,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,41.8729039,0.4375, , ,STL,CL,2010, ,1590,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,33.06832125,0.4375, , ,STL,CL,2010, ,1570,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,23.4832722,0.4375, , ,STL,CL,2010, ,1563,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,63.9012243,0.4375, , ,STL,CL,2010, ,1543,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,36.44549245,0.4375, , ,STL,CL,2010, ,1468,C,D,C,20-Jun-13
0, ,, ,TRUNK,60, ,38.34638433,0.4375, , ,STL,CL,2010, ,1393,C,D,C,20-Jun-13
