LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,
LONG BEACH,3850211A,1530,396,N,1127,TOTAL,255,193,52,
LONG BEACH,3850212A,1531,396,N,933,POLLING PLACE,195,146,42,
LONG BEACH,3850212A,1531,396,N,,VBM PORTION,62,44,13,
LONG BEACH,3850212A,1531,396,N,933,TOTAL,257,190,55,
LONG BEACH,3850213A,1532,396,N,813,POLLING PLACE,141,79,53,
LONG BEACH,3850213A,1532,396,N,,VBM PORTION,119,67,45,
LONG BEACH,3850213A,1532,396,N,813,TOTAL,260,146,98,
LONG BEACH,3850215A,1533,392,N,1468,POLLING PLACE,259,122,126,
LONG BEACH,3850215A,1533,392,N,,VBM PORTION,309,134,156,
LONG BEACH,3850215A,1533,392,N,1468,TOTAL,568,256,282,
LONG BEACH,3850216A,1534,396,N,1248,POLLING PLACE,345,198,136,
LONG BEACH,3850216A,1534,396,N,,VBM PORTION,112,72,36,
LONG BEACH,3850216A,1534,396,N,1248,TOTAL,457,270,172,
LONG BEACH,3850222B,1536,396,N,822,POLLING PLACE,164,124,35,
LONG BEACH,3850222B,1536,396,N,,VBM PORTION,77,48,25,
LONG BEACH,3850222B,1536,396,N,822,TOTAL,241,172,60,
LONG BEACH,3850223A,1537,396,N,936,POLLING PLACE,262,178,75,
LONG BEACH,3850223A,1537,396,N,,VBM PORTION,97,54,36,
LONG BEACH,3850223A,1537,396,N,936,TOTAL,359,232,111,
LONG BEACH,3850227A,1538,396,N,1098,POLLING PLACE,211,171,32,
LONG BEACH,3850227A,1538,396,N,,VBM PORTION,51,41,10,
LONG BEACH,3850227A,1538,396,N,1098,TOTAL,262,212,42,
LONG BEACH,3850229A,1539,396,N,675,POLLING PLACE,122,94,20,
LONG BEACH,3850229A,1539,396,N,,VBM PORTION,42,28,9,
LONG BEACH,3850229A,1539,396,N,675,TOTAL,164,122,29,
LONG BEACH,3850236A,1540,396,N,941,POLLING PLACE,71,62,8,
LONG BEACH,3850236A,1540,396,N,,VBM PORTION,26,17,7,
LONG BEACH,3850236A,1540,396,N,941,TOTAL,97,79,15,
LONG BEACH,3850237B,1541,396,N,618,POLLING PLACE,97,73,22,
LONG BEACH,3850237B,1541,396,N,,VBM PORTION,23,14,8,
LONG BEACH,3850237B,1541,396,N,618,TOTAL,120,87,30,
LONG BEACH,3850238A,1542,396,N,827,POLLING PLACE,107,77,24,
LONG BEACH,3850238A,1542,396,N,,VBM PORTION,29,26,2,
LONG BEACH,3850238A,1542,396,N,827,TOTAL,136,103,26,
LONG BEACH,3850239A,1543,396,N,910,POLLING PLACE,83,63,15,
LONG BEACH,3850239A,1543,396,N,,VBM PORTION,51,40,7,
LONG BEACH,3850239A,1543,396,N,910,TOTAL,134,103,22,
LONG BEACH,3850244A,1544,396,N,753,POLLING PLACE,46,36,8,
LONG BEACH,3850244A,1544,396,N,,VBM PORTION,33,26,6,
LONG BEACH,3850244A,1544,396,N,753,TOTAL,79,62,14,
LONG BEACH,3850248A,1545,396,N,744,POLLING PLACE,126,83,40,
LONG BEACH,3850248A,1545,396,N,,VBM PORTION,47,27,17,
LONG BEACH,3850248A,1545,396,N,744,TOTAL,173,110,57,
LONG BEACH,3850249A,1546,396,N,914,POLLING PLACE,92,71,18,
LONG BEACH,3850249A,1546,396,N,,VBM PORTION,32,25,6,
LONG BEACH,3850249A,1546,396,N,914,TOTAL,124,96,24,
LONG BEACH,3850251A,1547,396,N,828,POLLING PLACE,156,116,29,
LONG BEACH,3850251A,1547,396,N,,VBM PORTION,42,32,10,
LONG BEACH,3850251A,1547,396,N,828,TOTAL,198,148,39,
LONG BEACH,3850254A,1548,392,N,1352,POLLING PLACE,379,163,191,
LONG BEACH,3850254A,1548,392,N,,VBM PORTION,246,58,170,
LONG BEACH,3850254A,1548,392,N,1352,TOTAL,625,221,361,
LONG BEACH,3850255A,1549,392,N,1367,POLLING PLACE,310,127,170,
LONG BEACH,3850255A,1549,392,N,,VBM PORTION,294,102,170,
LONG BEACH,3850255A,1549,392,N,1367,TOTAL,604,229,340,
LONG BEACH,3850256A,1550,392,N,776,POLLING PLACE,186,98,76,
LONG BEACH,3850256A,1550,392,N,,VBM PORTION,99,47,49,
LONG BEACH,3850256A,1550,392,N,776,TOTAL,285,145,125,
LONG BEACH,3850259A,1551,392,N,922,POLLING PLACE,232,108,111,
LONG BEACH,3850259A,1551,392,N,,VBM PORTION,129,65,56,
LONG BEACH,3850259A,1551,392,N,922,TOTAL,361,173,167,
LONG BEACH,3850262A,1552,392,N,1374,POLLING PLACE,370,211,137,
LONG BEACH,3850262A,1552,392,N,,VBM PORTION,165,78,77,
LONG BEACH,3850262A,1552,392,N,1374,TOTAL,535,289,214,
LONG BEACH,3850264A,1553,392,N,730,POLLING PLACE,103,62,38,
LONG BEACH,3850264A,1553,392,N,,VBM PORTION,48,24,20,
LONG BEACH,3850264A,1553,392,N,730,TOTAL,151,86,58,
LONG BEACH,3850270A,1554,392,N,775,POLLING PLACE,114,76,36,
LONG BEACH,3850270A,1554,392,N,,VBM PORTION,65,29,29,
LONG BEACH,3850270A,1554,392,N,775,TOTAL,179,105,65,
