LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN,
SANTA MONICA,6250029A,2470,181,N,752,POLLING PLACE,221,133,70,
SANTA MONICA,6250029A,2470,181,N,,VBM PORTION,86,45,34,
SANTA MONICA,6250029A,2470,181,N,752,TOTAL,307,178,104,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,174,51,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,72,33,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,246,84,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,246,74,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,54,21,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,300,95,
SANTA MONICA,6250036B,2473,181,N,1149,POLLING PLACE,306,210,69,
SANTA MONICA,6250036B,2473,181,N,,VBM PORTION,96,52,34,
SANTA MONICA,6250036B,2473,181,N,1149,TOTAL,402,262,103,
SANTA MONICA,6250041A,2474,181,N,1275,POLLING PLACE,274,188,60,
SANTA MONICA,6250041A,2474,181,N,,VBM PORTION,103,65,33,
SANTA MONICA,6250041A,2474,181,N,1275,TOTAL,377,253,93,
SANTA MONICA,6250045A,2475,181,N,1204,POLLING PLACE,263,186,53,
SANTA MONICA,6250045A,2475,181,N,,VBM PORTION,84,47,29,
SANTA MONICA,6250045A,2475,181,N,1204,TOTAL,347,233,82,
SANTA MONICA,6250046A,2476,181,N,1263,POLLING PLACE,317,232,57,
SANTA MONICA,6250046A,2476,181,N,,VBM PORTION,89,64,23,
SANTA MONICA,6250046A,2476,181,N,1263,TOTAL,406,296,80,
SANTA MONICA,6250050A,2477,181,N,1012,POLLING PLACE,254,190,44,
SANTA MONICA,6250050A,2477,181,N,,VBM PORTION,71,44,21,
SANTA MONICA,6250050A,2477,181,N,1012,TOTAL,325,234,65,
SANTA MONICA,6250051A,2478,181,N,1237,POLLING PLACE,297,210,58,
SANTA MONICA,6250051A,2478,181,N,,VBM PORTION,87,45,30,
SANTA MONICA,6250051A,2478,181,N,1237,TOTAL,384,255,88,
SANTA MONICA,6250052B,2479,181,N,901,POLLING PLACE,164,118,35,
SANTA MONICA,6250052B,2479,181,N,,VBM PORTION,50,30,17,
SANTA MONICA,6250052B,2479,181,N,901,TOTAL,214,148,52,
SANTA MONICA,6250053A,2480,181,N,1252,POLLING PLACE,236,167,49,
SANTA MONICA,6250053A,2480,181,N,,VBM PORTION,111,64,37,
SANTA MONICA,6250053A,2480,181,N,1252,TOTAL,347,231,86,
SANTA MONICA,6250056A,2481,181,N,954,POLLING PLACE,97,62,24,
SANTA MONICA,6250056A,2481,181,N,,VBM PORTION,54,24,20,
SANTA MONICA,6250056A,2481,181,N,954,TOTAL,151,86,44,
SANTA MONICA,6250060A,2482,181,N,873,POLLING PLACE,144,115,20,
SANTA MONICA,6250060A,2482,181,N,,VBM PORTION,56,35,17,
SANTA MONICA,6250060A,2482,181,N,873,TOTAL,200,150,37,
SANTA MONICA,6250061A,2483,181,N,991,POLLING PLACE,228,179,24,
SANTA MONICA,6250061A,2483,181,N,,VBM PORTION,43,36,5,
SANTA MONICA,6250061A,2483,181,N,991,TOTAL,271,215,29,
SANTA MONICA,6250062A,2484,181,N,887,POLLING PLACE,209,167,29,
SANTA MONICA,6250062A,2484,181,N,,VBM PORTION,37,24,9,
SANTA MONICA,6250062A,2484,181,N,887,TOTAL,246,191,38,
SANTA MONICA,6250067A,2485,181,N,944,POLLING PLACE,296,243,40,
SANTA MONICA,6250067A,2485,181,N,,VBM PORTION,45,37,4,
SANTA MONICA,6250067A,2485,181,N,944,TOTAL,341,280,44,
SANTA MONICA,6250068D,2486,181,N,582,POLLING PLACE,139,113,22,
SANTA MONICA,6250068D,2486,181,N,,VBM PORTION,53,37,12,
SANTA MONICA,6250068D,2486,181,N,582,TOTAL,192,150,34,
SANTA MONICA,6250069A,2487,181,N,1149,POLLING PLACE,363,266,58,
SANTA MONICA,6250069A,2487,181,N,,VBM PORTION,96,65,20,
SANTA MONICA,6250069A,2487,181,N,1149,TOTAL,459,331,78,
SANTA MONICA,6250070A,2488,181,N,1101,POLLING PLACE,301,238,47,
SANTA MONICA,6250070A,2488,181,N,,VBM PORTION,112,70,34,
SANTA MONICA,6250070A,2488,181,N,1101,TOTAL,413,308,81,
SANTA MONICA,6250071A,2489,181,N,930,POLLING PLACE,198,166,19,
