LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUE HIMMELRICH,JERRY RUBIN,PAM O'CONNOR,TERENCE LATER,FRANK GRUBER,PHIL BROCK,NICK BOLES,WHITNEY SCOTT BAIN,ZOE MUNTANER,KEVIN MCKEOWN,RICHARD MCKINNON,JON MANN,MICHAEL FEINSTEIN,JENNIFER KENNEDY,
SANTA MONICA,6250050A,2477,181,N,,VBM PORTION,71,25,5,22,10,9,11,1,4,2,25,8,5,12,16,
SANTA MONICA,6250050A,2477,181,N,1012,TOTAL,325,143,19,78,20,43,49,9,14,15,118,36,19,40,87,
SANTA MONICA,6250051A,2478,181,N,1237,POLLING PLACE,297,107,27,86,26,45,56,15,21,14,85,45,18,44,53,
SANTA MONICA,6250051A,2478,181,N,,VBM PORTION,87,19,2,20,4,24,9,4,5,1,21,7,5,21,4,
SANTA MONICA,6250051A,2478,181,N,1237,TOTAL,384,126,29,106,30,69,65,19,26,15,106,52,23,65,57,
SANTA MONICA,6250052B,2479,181,N,901,POLLING PLACE,164,61,11,35,9,28,23,4,5,12,50,11,14,24,45,
SANTA MONICA,6250052B,2479,181,N,,VBM PORTION,50,14,5,5,3,3,7,1,5,,15,5,2,10,12,
SANTA MONICA,6250052B,2479,181,N,901,TOTAL,214,75,16,40,12,31,30,5,10,12,65,16,16,34,57,
SANTA MONICA,6250053A,2480,181,N,1252,POLLING PLACE,236,88,10,67,17,40,45,17,14,12,71,35,14,25,51,
SANTA MONICA,6250053A,2480,181,N,,VBM PORTION,111,25,9,28,12,19,18,1,9,9,22,12,6,10,10,
SANTA MONICA,6250053A,2480,181,N,1252,TOTAL,347,113,19,95,29,59,63,18,23,21,93,47,20,35,61,
SANTA MONICA,6250056A,2481,181,N,954,POLLING PLACE,97,30,7,28,8,16,20,7,11,8,27,8,14,17,21,
SANTA MONICA,6250056A,2481,181,N,,VBM PORTION,54,15,8,12,7,8,12,4,8,2,8,7,8,7,8,
SANTA MONICA,6250056A,2481,181,N,954,TOTAL,151,45,15,40,15,24,32,11,19,10,35,15,22,24,29,
SANTA MONICA,6250060A,2482,181,N,873,POLLING PLACE,144,48,7,47,6,26,31,4,9,10,59,31,8,18,41,
SANTA MONICA,6250060A,2482,181,N,,VBM PORTION,56,21,7,13,2,5,13,2,3,2,18,8,3,12,6,
SANTA MONICA,6250060A,2482,181,N,873,TOTAL,200,69,14,60,8,31,44,6,12,12,77,39,11,30,47,
SANTA MONICA,6250061A,2483,181,N,991,POLLING PLACE,228,70,19,67,14,60,40,10,17,8,76,33,18,32,41,
SANTA MONICA,6250061A,2483,181,N,,VBM PORTION,43,18,2,7,,8,9,,3,1,18,7,1,10,9,
SANTA MONICA,6250061A,2483,181,N,991,TOTAL,271,88,21,74,14,68,49,10,20,9,94,40,19,42,50,
SANTA MONICA,6250062A,2484,181,N,887,POLLING PLACE,209,68,11,73,12,55,46,12,15,5,83,32,13,26,28,
SANTA MONICA,6250062A,2484,181,N,,VBM PORTION,37,9,4,18,5,9,6,2,2,2,14,2,,6,3,
SANTA MONICA,6250062A,2484,181,N,887,TOTAL,246,77,15,91,17,64,52,14,17,7,97,34,13,32,31,
SANTA MONICA,6250067A,2485,181,N,944,POLLING PLACE,296,127,9,61,10,62,54,13,10,2,141,54,13,47,71,
SANTA MONICA,6250067A,2485,181,N,,VBM PORTION,45,22,6,9,2,12,5,1,1,2,20,4,,5,8,
SANTA MONICA,6250067A,2485,181,N,944,TOTAL,341,149,15,70,12,74,59,14,11,4,161,58,13,52,79,
SANTA MONICA,6250068D,2486,181,N,582,POLLING PLACE,139,45,8,40,8,31,38,14,7,2,51,23,7,23,17,
SANTA MONICA,6250068D,2486,181,N,,VBM PORTION,53,13,8,11,2,9,12,3,3,1,17,14,7,12,6,
SANTA MONICA,6250068D,2486,181,N,582,TOTAL,192,58,16,51,10,40,50,17,10,3,68,37,14,35,23,
SANTA MONICA,6250069A,2487,181,N,1149,POLLING PLACE,363,102,12,102,28,88,76,17,8,10,156,59,20,51,67,
SANTA MONICA,6250069A,2487,181,N,,VBM PORTION,96,37,6,21,10,20,19,2,7,2,40,13,9,11,16,
SANTA MONICA,6250069A,2487,181,N,1149,TOTAL,459,139,18,123,38,108,95,19,15,12,196,72,29,62,83,
SANTA MONICA,6250070A,2488,181,N,1101,POLLING PLACE,301,122,16,87,31,80,65,16,14,7,136,58,15,43,72,
SANTA MONICA,6250070A,2488,181,N,,VBM PORTION,112,38,6,19,10,24,23,3,6,4,36,18,6,9,20,
SANTA MONICA,6250070A,2488,181,N,1101,TOTAL,413,160,22,106,41,104,88,19,20,11,172,76,21,52,92,
SANTA MONICA,6250071A,2489,181,N,930,POLLING PLACE,198,71,7,50,7,40,36,9,8,11,76,23,18,27,53,
SANTA MONICA,6250071A,2489,181,N,,VBM PORTION,55,19,5,13,3,9,15,1,5,1,22,9,3,9,5,
SANTA MONICA,6250071A,2489,181,N,930,TOTAL,253,90,12,63,10,49,51,10,13,12,98,32,21,36,58,
SANTA MONICA,6250072A,2490,181,N,1294,POLLING PLACE,460,133,31,119,27,96,82,14,19,11,193,138,29,52,76,
SANTA MONICA,6250072A,2490,181,N,,VBM PORTION,135,39,14,25,17,24,32,3,6,1,62,38,3,22,20,
SANTA MONICA,6250072A,2490,181,N,1294,TOTAL,595,172,45,144,44,120,114,17,25,12,255,176,32,74,96,
SANTA MONICA,6250076B,2491,181,N,878,POLLING PLACE,276,96,10,64,26,61,59,8,11,7,132,68,11,45,37,
SANTA MONICA,6250076B,2491,181,N,,VBM PORTION,68,24,1,11,4,20,17,2,4,3,27,16,6,11,11,
SANTA MONICA,6250076B,2491,181,N,878,TOTAL,344,120,11,75,30,81,76,10,15,10,159,84,17,56,48,
SANTA MONICA,6250078A,2492,181,N,826,POLLING PLACE,212,74,13,47,17,49,43,10,12,6,88,54,9,35,35,
SANTA MONICA,6250078A,2492,181,N,,VBM PORTION,47,17,2,6,3,14,9,,2,1,20,4,5,5,8,
SANTA MONICA,6250078A,2492,181,N,826,TOTAL,259,91,15,53,20,63,52,10,14,7,108,58,14,40,43,
SANTA MONICA,6250081A,2493,181,N,1103,POLLING PLACE,372,148,28,83,17,49,86,17,12,8,166,58,26,62,100,
SANTA MONICA,6250081A,2493,181,N,,VBM PORTION,76,26,7,21,5,14,14,7,3,,25,13,3,10,19,
SANTA MONICA,6250081A,2493,181,N,1103,TOTAL,448,174,35,104,22,63,100,24,15,8,191,71,29,72,119,
SANTA MONICA,6250083A,2494,181,N,1180,POLLING PLACE,384,143,20,100,43,91,88,15,28,13,164,75,22,56,67,
SANTA MONICA,6250083A,2494,181,N,,VBM PORTION,85,22,11,14,5,17,20,4,5,4,37,13,2,14,12,
