Precinct,Ballot_Group,Consolidation,IsVoteByMail
9002297D,104,9002298A,0
9002503C,138,9002503A,0
9001876B,152,9001876A,0
9000412A,55,9006462A,0
9003681F,55,9003681A,0
2550110F,45,2550108A,0
7650005E,145,7650005A,0
9000261C,60,9001152A,0
5250021N,90,5250021A,0
0090009A,29,0090009A,1
3850368E,209,3850368A,0
6250017A,81,6250017A,0
9001640C,58,9001640A,0
9001334A,101,9001334A,0
9001175B,104,9001175A,0
3700042Q,2,3700042B,0
9000690D,47,9000690B,0
1500024F,63,1500024A,0
6220118R,14,6220118A,0
1500036G,63,1500036C,0
9000715E,49,9000715A,0
9002163E,104,9002163A,0
6600026B,36,6600026A,0
3080003B,36,3080004A,1
3550111B,2,3550111A,0
9001085F,60,9001085B,0
5230035E,127,5230035A,0
2550079F,45,2550079A,0
5250003B,90,5250314A,0
6220095C,14,6220023A,0
7680013E,196,7680013A,0
9008147B,21,9008147A,0
2630036E,123,2630036A,0
5250076E,90,5250076A,0
7150084D,191,7150084A,0
3300009A,120,3300009A,0
5750002C,69,5750073A,0
1250066B,36,1250075A,1
6220011H,14,6220008A,0
3850019A,169,3850017B,0
7850204G,180,7850204A,0
2300013C,139,2300013A,0
4050208B,83,4050014A,0
7800064B,120,7800064A,0
3450072C,158,3450072A,0
2100101A,72,2100101A,0
1600022D,104,1600024A,0
5000022C,2,5000022B,0
2630190E,123,2630190A,0
3850183A,209,3850222B,0
0200012D,36,0200051A,0
4450032P,126,4450032A,0
4450010D,76,4450010A,0
9001312A,81,9001312A,0
0950135A,46,0950135A,0
1040001F,14,1040020A,0
6400001A,68,6400001A,1
5150074D,36,5150074A,0
9007781E,11,9007781A,0
2550006B,45,2550006A,0
2100024B,72,2100024A,0
7800176B,120,7800176A,0
6250092D,81,6250092A,0
7150082C,191,7150082A,0
1780020H,110,1780020A,0
3450064A,160,3450064A,0
3550043D,1,3550040A,0
9001605A,79,9001436A,0
9000159D,62,9000155A,0
3850349D,209,3850349A,0
6220086C,14,6220086A,0
6250085C,81,6250085A,0
5850206D,112,2930016A,1
1300026E,37,1300026A,0
4100009C,192,4100012A,0
5250150A,90,5250150A,0
0750016A,129,0750016A,0
0350024C,68,0350024A,0
2550052F,45,2550052A,0
9000229C,55,9000229A,0
9001626B,147,9001489A,0
3200006C,46,3200006C,0
7700038B,64,7700038A,0
1030112C,178,1030112A,0
2750003B,193,2750003B,0
3330007C,114,3330002B,0
0950177A,48,0950177A,0
9001096B,60,9000799A,0
9000607C,21,9000607C,0
6220142D,14,6220142A,0
9001219J,81,9001219A,0
7150077A,198,7150077A,0
1030102B,178,1030102A,0
1780092C,110,1780092A,0
9000185D,19,9000185C,0
9002009B,104,9002009A,0
1000020A,56,1000076A,0
6220145D,14,6220145A,0
9001188B,180,9001188A,0
0670141B,64,0670141A,0
0950038B,41,0950189A,0
1430009D,132,1430009A,0
6550055C,171,6550055A,0
3550051A,2,3550089B,0
6220036A,14,6220011B,0
3990008A,156,3990009A,0
3330019F,114,3330019C,0
9000159C,62,9000155A,0
5750023D,69,5750023A,0
9002256B,33,9002256A,0
9003050C,104,9002083B,0
9001767C,104,9001770A,0
9000350A,17,9000350A,0
3550059B,2,3550059A,0
1600076F,104,1600076A,0
7700145C,64,7700145A,0
4100034D,192,4100034A,0
2550023B,45,2550025A,0
3550086D,1,3550090A,0
3450064B,160,3450064A,0
4400061C,39,4400061A,0
1030032C,178,1030032A,0
9000029E,86,9000029A,0
7150097G,191,7150090A,0
9006324E,86,9006324A,0
9006390F,215,9002675A,0
9002398B,21,9002398A,0
9003951H,97,9003951B,0
6250060E,81,6250060A,0
7800185E,120,7800185A,0
5000030D,2,5000030A,0
0350036F,68,0350038A,0
9006268A,54,9006268A,0
2040012C,68,2040012A,0
3400012A,39,3400012A,0
3550059F,2,3550059A,0
9001998C,139,9001993B,0
0750034E,124,0750034A,0
1030025C,178,1030025B,0
1150004A,53,1150004A,1
1940011A,63,1940011A,0
3850649A,214,3850648A,0
9001709D,137,9000720C,0
0550012H,64,0550012A,0
4800021C,120,4800021B,0
3850351C,209,3850351A,0
4800071F,120,4800071A,0
9002425A,199,9002425A,0
9002367A,104,9005504C,0
4400008M,36,4400008A,0
9006487D,55,9006487B,0
0200014E,36,0200015A,0
9000405E,58,9000405A,0
3450080E,158,3450080A,0
5530046A,192,5530042A,0
0900018F,81,0900018A,0
0050059N,2,0050059A,0
3550043B,1,3550020B,0
2850004G,99,2850004A,0
5000032E,2,5000032A,0
9001294B,107,9004218A,0
9001542B,150,9001542A,0
9002123B,55,9002123A,0
9000819A,43,9000819A,0
2550142D,45,2550042B,0
4450043D,126,4450043B,0
2550143A,45,2550143A,0
0600012F,64,0600012A,0
1780078D,110,1780078A,0
9006652C,55,9006652A,0
9000442B,58,9000442A,0
1070013A,124,1070013A,0
9000678B,85,9000679A,0
0950160D,46,0950160A,0
6220058C,14,6220055A,0
0150056F,68,0150056A,0
6850033G,27,6850033C,1
9000159F,62,9000155A,0
3990033C,156,3990033A,0
3850268E,214,3850275A,0
6300008B,3,6300005A,0
6600022E,36,6600026A,0
7700144A,64,7700144A,0
9003181D,81,9003181A,0
0850018C,86,0850017A,0
9002159A,97,9002159A,0
5200001K,2,5200040D,0
7050066A,68,7050066A,0
3850124C,209,3850036A,0
9001175D,104,9001175A,0
2100119D,64,2100120B,0
9002135B,104,9002135B,0
9005504D,104,9001290A,0
1600073A,104,1600073A,0
6300036A,14,6300026A,1
9001776A,104,9002083B,0
9002198A,104,9001320A,0
7670023A,154,7670023A,0
3750046D,36,3500055A,1
9005130A,43,9001267A,0
7800059D,120,7800058B,0
2700051E,155,2700051A,0
9000364C,58,9000364A,0
9006666B,55,9006666A,0
3300014D,120,3300014A,0
9002828E,19,9002828E,0
6250095C,81,6250095A,0
4500014C,69,4500014A,0
0600009E,64,0600009A,0
9006463A,55,9000213B,0
9001975A,136,9002022A,0
2500016A,196,2500016A,0
9000712E,47,9000712A,0
0350024F,68,0350024A,0
9001884A,150,9001884A,0
5230068B,127,5230068A,0
9006487F,55,9006483A,0
9001746A,104,9001290A,0
0950010F,46,0950015A,0
9005399E,93,9005400A,0
9002056C,86,9000872A,0
7670009D,138,9002503A,0
0600030L,64,0600030A,0
9002177B,153,9002177A,0
1030029B,178,1030029A,0
7670003C,138,7670003A,0
3850213H,209,3850213A,0
9005014D,93,9005014A,0
1300039G,37,1300039A,0
4400007D,39,4400007A,0
0670010C,64,0670010A,0
7510005G,104,7510009B,0
4800018C,120,4800018A,0
3400052C,39,3400052A,0
2100015A,72,2100101A,0
9002114B,104,9002114A,0
3150008H,46,3150004A,0
5400057A,1,5400057A,0
9000966A,85,9000679C,0
9007321B,30,9007307A,0
1680004B,155,1680004A,0
7150039G,191,7150039A,0
2550105B,45,2550105A,0
1450034D,179,1450034A,0
9002281B,21,9002281A,0
6820009G,18,6820010A,0
5100008D,163,5100008A,0
6220032A,18,6220032A,0
9002375B,104,9002375A,0
4400004C,36,4400004A,0
0200015E,36,0200015A,0
5530037A,192,5530036A,0
3450070D,158,3450070A,0
6220147E,14,6220148A,0
5000066F,2,5000019A,0
3850013C,184,3850013A,0
7150046B,191,7150046A,0
6220171B,3,6220170A,0
3850541B,209,3850349A,0
5550014A,190,5550014A,0
5000074A,2,5000067A,0
9000025A,54,9000025A,0
9006660G,55,9006666A,0
5250025B,90,5250025A,0
5150028C,36,5150090E,0
9000965C,85,9000965A,0
0550010N,64,0550010D,0
9000744A,60,9000745B,0
4450005A,126,4450005A,0
9002384A,52,9000920A,0
9000950F,61,9001200A,0
9001600A,79,9001600A,0
6000054D,39,6000054A,0
3850067G,209,3850067B,0
9001671B,58,9001665A,0
0850016A,86,0850016A,0
6220085D,14,6220042A,0
2700015A,155,2700015A,0
0150021A,68,0150021A,0
2100106H,72,2100106A,0
3400001E,39,3400001A,0
6250008D,81,6250008A,0
3850102D,182,3850102A,0
9001074H,55,9001074A,0
6050001F,21,6050001A,0
3850222C,209,3850222B,0
5400047A,1,5400047A,0
4450042G,126,4450043B,0
5150006C,36,5150005A,0
0150051D,68,0150051A,0
3850283B,214,3850272A,0
6220063G,14,6220063A,0
1150012D,54,1150012A,0
0150004E,68,0150004A,0
9000185B,19,9004234A,0
6220065N,14,6220065A,0
9002185A,148,9002185A,0
9000393A,54,9000393A,0
0900006D,81,0900006A,0
7670004A,154,7670004A,0
9006468A,55,9006471A,0
2600097D,67,2600097A,0
2600106G,65,2600106A,0
9007687J,81,9005921A,0
5000045A,2,5000045A,0
6650006A,70,6650032A,0
5150003F,36,5150003B,1
1770072B,2,1770001A,0
1030046D,178,1030046A,0
9002225B,79,9002225A,0
7150125F,198,7150125A,0
7700013A,64,7700024A,0
0150021B,68,0150021A,0
2350026H,36,2350026A,0
3300008B,120,3300007A,0
2350026A,36,2350026A,0
2500032E,196,2500035A,0
2750009G,193,2750003A,0
9001534A,94,9001656C,0
2550163B,45,2550178A,0
1070012G,124,1070012A,0
2550036E,45,2550036A,0
5750011C,69,5750010A,0
2950048A,155,2950048A,0
2100027C,64,2100027A,0
9000900A,86,9000900A,0
6250120B,81,6250083A,0
9002193F,104,9002193A,0
5250012E,90,5250012A,0
4100004E,192,4100001F,0
1780064C,110,1780063A,0
9002237D,81,9002237A,0
4800034E,120,4800034A,0
9002904A,60,9001666A,0
9005321D,104,9005321A,0
9000234B,55,9000234A,0
9007687D,81,9005928C,0
9002883A,79,9000311A,0
5250036K,90,5250087C,0
9002662A,215,9002662A,0
9006392E,215,9002681A,0
9000046A,20,9000046A,1
9000465A,21,9000465A,0
6220033A,14,6220033A,0
5230081C,127,5230081A,0
9007781A,11,9007781A,0
2700093C,155,2700092A,0
4500030A,70,4500030A,0
1150001F,17,1150001A,0
9007847A,52,9007847A,0
7600004F,112,7600004A,0
2700103D,155,2700103B,0
6050010E,21,6050010A,0
9001765C,104,9001777B,0
2250007F,149,2250007A,0
0950042F,46,0950042A,0
2080004D,196,2080004A,0
6000002B,39,6000002A,0
1780087E,110,1780087A,0
9000889A,142,9000888A,0
5150080D,36,5150080A,0
2000013A,88,2000013A,0
9000292D,30,9000292A,0
9001476G,104,9001456A,0
5250062F,90,5250062A,0
5150070A,36,5150070A,0
6220067D,14,6220067A,0
0350007F,68,0350007A,0
9002303E,104,9002303A,0
7770040C,50,7770013A,0
3550060A,1,3550060A,0
3550025F,1,3550025A,0
9002001A,93,9002001A,0
9000187F,55,9000187A,0
9000118D,51,9000118A,0
2100041C,72,2100041C,0
6700010D,120,6700010A,0
3430010B,104,3430004A,0
9002465A,136,9002465A,0
6300004K,3,6300002B,1
4800005A,120,4800029B,0
3200003C,46,3200008B,0
6220078F,14,6220078A,0
9006253H,11,9006253A,0
9006601B,55,9006487B,0
7750017A,79,7750017A,0
9002813A,86,9000907A,0
9003458F,215,9003458B,0
3550079A,2,3550104A,0
