Precinct,Ballot_Group,Consolidation,IsVoteByMail
3150001I,46,3150001A,0
9001545B,150,9001545A,0
9005389F,81,9005389A,0
2630023C,123,2630023A,0
9005936B,146,9005936A,0
9000789D,86,9000438A,0
7150067C,194,7150069A,0
3550088B,2,3550088A,0
5850077B,110,5850077B,0
9000300A,21,9000300A,0
4800037C,120,4800037A,0
9002534E,180,9001138A,0
9002413B,84,9005315A,0
9006258D,11,9006258A,0
1070048C,124,1070048A,0
9000246D,55,9000246A,0
3430001D,104,3430003C,1
9001891D,94,9001891A,0
9000042C,55,9000042A,0
6230051E,120,6230051A,0
9002116B,104,9002116A,0
9001303C,82,9001303A,0
9000545C,176,9000545A,0
3750046R,36,3500055A,1
9000265A,54,9000393A,0
3990008B,156,3990009A,0
7670014A,154,7670014A,0
2930067R,114,2930067A,1
3200019D,46,3200019A,0
3850100A,219,3850100A,0
9002370E,104,9002370A,0
6450004C,210,6450004A,0
3850390A,209,3850123A,0
1900005A,67,1900005A,0
2600009H,65,2600009A,0
4800049B,124,4800059A,0
7150104D,191,7150104A,0
9000954E,58,9000405A,0
3850680E,214,3850539A,0
9001454A,107,9001454A,0
9002614A,17,9002614A,1
2100040E,72,2100040D,0
6250041F,81,6250041A,0
9000533G,104,9000533A,0
2700092D,155,2700092A,0
0850037F,86,0850012C,0
9002211A,136,9002211A,0
3550065F,2,3550052A,0
9000969F,85,9000969A,0
9002140E,104,9002140A,0
6220016V,18,6220101B,0
3550095F,2,3550095A,0
9005916E,81,9005916B,0
7800021B,120,7800021A,0
2630177A,123,2630142A,0
1100028C,63,1100028A,0
9002866D,81,9001310A,0
5850118F,110,5850118A,0
9000451B,147,9000451A,0
5550030B,190,5550030A,0
9001436G,79,9001436A,0
5530002D,192,5530002A,0
9007226E,104,9007229B,0
9001613F,81,9001623A,0
7510005F,104,7510009B,0
7800057C,120,7800057A,0
6220069E,14,6220069A,0
9006392D,215,9002681A,0
9002194D,148,9002199A,0
9000756E,60,9000756A,0
9000131C,55,9000131A,0
1900006A,67,1900006A,0
9006268E,54,9006268A,0
6050003C,21,6050005A,0
5500119A,63,1500074C,0
6700009E,120,6700009B,0
9005299G,80,9005300A,0
1450021A,179,1450004A,0
1780021D,110,1780001A,0
9007307D,30,9007307A,0
6700020B,120,6700021A,0
3850650F,174,3850650A,0
9003235D,150,9003235A,0
9003218D,55,9003218B,0
6250038G,81,6250019A,0
9001624D,94,9001624A,0
9000528B,107,9001257B,0
7700010B,64,7700019B,0
9002251B,81,9002273A,0
6820013A,18,6820008A,0
7150076A,198,7150076A,0
9001827F,215,9001827A,0
3300022A,120,3300022A,0
9001513A,104,9001514A,0
9000602C,86,9000602B,0
7700162C,109,7700162A,0
3850055E,208,3850055A,0
2950018B,155,2950018A,0
7800017D,120,7800017B,0
9001526C,86,9000882A,0
6200005D,75,6200005A,0
3550053C,1,3550053A,0
7150094B,191,7150144A,0
9000592A,21,9000592A,0
1040226U,14,1040226B,0
0150020A,68,0150032A,0
9005322C,104,9005322A,0
9001120C,60,9001120A,0
9002127C,104,9002127A,0
1600025D,104,1600025A,0
6600001E,36,6600001A,0
1750061T,1,1750061D,1
9002251C,81,9002273A,0
7700001C,64,7700001A,0
1850062F,129,1850062A,0
0700017E,164,0700017A,0
9000123A,21,9000123A,0
3400016A,39,3400016A,0
4060002C,83,0070006A,0
0150079C,68,0150079A,0
9001620B,94,9001541A,0
2250006D,149,2250006A,0
9000232A,21,9000232A,0
7700015E,64,7700015B,0
9007954D,55,9007954B,0
9001485B,104,9001485A,0
9000653B,104,9002080A,0
5230038A,127,5230038A,0
1940017B,63,1940004A,0
9000980D,58,9000581A,0
1780069B,110,1780069A,0
4800029B,120,4800029B,0
2300025A,139,2300025A,0
3850185A,209,3850185A,0
2500003C,196,2500003A,0
9000524E,86,9000524A,0
9000408C,58,9000408A,0
9000866D,43,9000866A,0
0350062E,68,0350062B,0
3800013C,195,3800013A,0
9008147A,21,9008147A,0
3680002L,2,3680001A,0
6220182B,14,6220182A,0
9001961F,136,9001961F,0
2500020E,196,2500020B,0
3550067A,2,3550067A,0
5530021B,192,5530021A,0
5150053B,36,5150053A,0
9002500C,138,9002500A,0
7850202A,180,0450001A,0
9001492C,104,9001492A,0
9000963A,94,9001742A,0
3850006A,209,3850007A,0
6820007H,18,6820007A,0
9001329B,101,9001329A,0
9002113D,104,9002113A,0
9006383B,215,9006387A,0
1780078A,110,1780078A,0
9001647A,43,9001647A,0
6100026F,68,6100026A,0
3850213D,209,3850213A,0
9002397E,147,9002397A,0
9001666C,60,9001666A,0
0150080D,68,0150080A,0
2700017C,155,2700017A,0
9000506D,58,9000506A,0
9005293D,104,9005293A,0
9002543A,96,9001000A,0
2950087B,154,2950087A,0
3850333B,219,3850333A,0
1940002D,63,1940008A,0
0950166D,46,0950166B,0
1450003C,179,1450118B,0
1040016C,14,1040016A,0
9005401D,93,9005401A,0
0800012C,134,0800001A,0
9000516B,21,9002301A,0
3400014A,39,3400014A,0
3400002A,39,3400002A,0
2250020E,149,2250020A,0
3850085B,209,3850085B,0
1000012A,56,1000012A,0
9001503G,215,9001610B,0
5250140B,90,5250145A,0
9000964B,43,9000964A,0
1780007B,110,1780076A,0
7750043F,79,7750043A,0
9000224A,11,9001276A,0
9000442D,58,9000805A,0
9002331C,199,9005045A,0
1770015C,2,1770015A,0
3850647C,214,3850648A,0
3990023F,156,3990017A,0
9000218C,30,9005667A,0
3850138E,206,3850151C,0
0350104H,68,0350104A,0
9002384D,52,9000920A,0
3450085D,161,3450013A,0
5530030B,192,5530031A,0
9002502E,154,9002502A,0
9001448A,82,9001480A,0
6220006G,14,6220006A,0
2000030D,87,2000030A,0
9001109C,60,9001109A,0
9002214A,136,9002214A,0
0950032B,46,0950032A,0
1030032A,178,1030032A,0
1780075A,110,1780075A,0
1070025E,124,1070025A,0
0670001A,64,0670006A,0
2950092C,155,2950092A,0
0900012B,81,0900002A,0
1780063B,110,1780063A,0
0700011F,164,0700011A,0
2750013E,193,2750012A,0
2700001G,155,2700001A,0
7150014B,198,7150051B,0
2550192A,45,2550192A,0
1850015D,129,1850015A,0
3450053E,160,3450053A,0
7150058H,198,7150058A,0
7150096A,191,7150102A,0
3850085D,209,3850084A,0
9001913C,94,9001047B,0
0950011E,46,0950011A,0
2100005G,72,2100005A,0
2650003B,158,2650004A,0
5230023D,127,5230023A,0
6220121B,14,6220086A,0
6250024C,81,6250024A,0
5150102D,36,5150102A,0
9005317A,104,9005317A,0
9000377A,58,9000575A,0
7150041B,198,7150041A,0
7410029C,64,7410029A,0
9000504F,79,9000361A,0
9000205A,58,9000205A,0
9001930B,137,9002821A,0
1680003A,155,1680003A,0
9006441F,55,9006441B,0
9003029A,175,9003866A,0
9006241G,11,9006242B,0
2950092A,155,2950092A,0
2600007J,65,2600063A,0
3400012C,39,3400012A,0
2630018D,123,2630018A,0
9001281A,102,9001284A,0
6220004B,14,6220004A,0
0550074C,64,0550074A,0
5150095E,38,5150095A,0
6400013D,36,6400013A,0
1850076F,129,1850076A,0
7150003A,198,7150003A,0
9000045E,21,9000093A,0
4500009A,69,4500009A,0
9000646D,30,9000646A,0
5550026A,190,5550024A,0
1850020E,129,1850023A,0
2600009G,65,2600009A,0
3850547D,169,3850547A,0
2550098E,45,2550098A,0
9000376H,21,9002894A,0
9000324A,21,9000324A,0
0500003B,201,0500001A,0
4400065A,39,4400065A,0
3850035C,168,3850035A,0
9000619C,21,9000392A,0
6230006A,120,6230006A,0
9002988B,21,9002988A,0
3550035B,1,3550035B,0
5530041F,192,5530041A,0
7600014A,112,7600005C,0
5250007E,90,5250004A,0
3850025A,206,3850025A,0
2000013F,88,2000013A,0
5850075E,110,5850075A,0
2630083B,123,2630083A,0
5750033H,69,5750033A,0
1600003E,104,1600003A,0
4800013E,120,4800013A,0
9001666A,60,9001666A,0
1000076C,56,1000076A,0
1040251B,14,1040251A,0
7150078D,191,7150078D,0
9001296F,82,9001296A,0
2950087E,154,2950087A,0
9000878A,86,9005537A,0
9005189E,58,9005189A,0
9000584C,94,9001905A,0
7150137C,198,7150137A,0
9000795E,85,9002648B,0
3850554D,172,3850554A,0
0950149C,46,0950013A,0
0350045H,68,0350048A,0
6700054E,120,6700054B,0
1040251G,14,1040251A,0
5250073C,90,5250073A,0
2700043L,155,2700043A,0
2630002C,123,2630179A,0
9002913D,104,9002913A,0
6650010A,74,6650010A,1
1850027B,129,1850032A,0
9001731C,104,9001731A,0
3850381A,209,3850368A,0
6220118N,14,6220118A,0
3430003G,104,3430003C,1
9001404M,215,9001006A,0
6100017C,68,6100017A,0
3550039C,2,3550095A,0
7150001D,198,7150002A,0
6250025F,81,6250025B,0
9002857A,104,9001291A,0
5000044E,2,5000044A,0
6220077B,14,6220077A,0
7050062A,68,7050062A,0
6650011D,116,6650011D,1
1450132A,179,1450132A,0
9000201F,58,9000201B,0
9002572C,175,9002572A,0
0750027B,124,0750027A,0
2950031A,155,2950031A,0
3680003M,2,2620001A,0
3500017D,36,3500055A,1
2950012A,155,2950005A,0
9007888B,55,9007888A,0
5000001E,2,5000001A,0
2500031B,196,2500031A,0
9000070C,21,9000070A,0
5250014F,90,5250014A,0
7800013B,120,7800185A,0
9002130A,104,9002124B,0
9000589B,86,9000589A,0
7700149D,64,7700143A,0
9002313A,21,9000616A,0
2850011C,99,2850011A,0
9007379B,102,9001284A,0
5250314F,90,5250314A,0
0090014A,2,0050014A,0
9000490C,58,9000490A,0
6220080C,14,6220080A,0
2750001C,193,2750001A,0
5150156F,36,5150156A,0
1450155C,179,1450133A,0
9001557B,104,9001557B,0
2100118F,64,2100119A,0
0600009B,64,0600009A,0
1750001B,2,1750001A,0
4500007A,69,4500007A,0
6850017A,33,6850017A,1
1030106B,178,1030106A,0
1900004F,67,1900004A,0
4060001A,83,4060001A,0
3680002J,2,3680001A,0
3850661B,202,3850661B,1
7150132C,191,7150132A,0
6550061C,171,6550060A,0
1770063P,2,5000005A,0
9000842B,60,9000841A,0
3850346E,209,3850346A,0
5250053B,90,5250053A,0
9002170A,85,9006098C,0
9000348D,60,9000348C,0
9001122A,60,9001122A,0
2950008D,155,2950008A,0
2630093A,123,2630159A,0
0200040B,36,0200007A,0
6220019D,14,6220017B,0
4050208A,83,4050014A,0
1600013C,104,1600013B,0
9000556E,21,9000556A,0
3850044D,209,3850044D,0
9000907B,86,9000907A,0
5000008B,2,5000008A,0
9001019G,55,9001019A,0
1300007D,37,1300007A,0
6250071B,81,6250071A,0
6220146F,14,6220146A,0
2950013A,155,2950092A,0
9004216A,79,9004216A,0
9000084D,54,9000084A,0
1450033A,179,1450033A,0
6220025F,18,6220030A,0
2950042A,155,2950042A,0
2550074C,45,2550074A,0
2600094E,65,2600104A,0
9006220E,22,9006219A,0
3000001K,64,3000003A,0
2250006C,149,2250006A,0
9000342B,11,9002892A,0
9001931C,60,9001931A,0
5250017E,90,5250017A,0
6820016B,18,6820011A,0
4800053A,120,4800053A,0
1680011A,155,1680002B,0
3850117B,206,3850117A,0
3850295B,214,3850295A,0
9000128D,55,9000414A,0
7700154C,64,7700154A,0
9001513B,104,9001514A,0
3850121E,219,3850333A,0
6220081C,14,6220081C,1
3850020C,169,3850020A,0
4400015E,39,4400015A,0
9002338C,189,9002338A,0
9001949C,79,9000544A,0
3430003E,104,3430003C,1
6700005E,120,6700008A,0
2950067A,155,2950067A,0
9002231B,81,9002232A,0
1000013B,56,1000013A,0
3500001G,36,3500016A,1
1780043B,110,1780043B,0
9005105B,86,9001841A,0
9001128B,43,9001128A,0
7100030G,83,7100030A,0
9002688C,215,9001827A,0
1500018C,63,1500014A,0
2350005A,89,2350029A,1
1100017A,64,1100076A,0
3990064B,156,3990064A,0
9000174N,55,9000254A,0
9002127G,104,9002127A,0
4500007F,69,4500047B,0
6220065F,14,6220065A,0
9000239H,79,9000782A,0
3850285B,214,3850285A,0
1040226M,14,1040226B,0
3900071C,120,3900071C,0
2630066C,123,2630066A,0
9001031D,137,9001031A,0
1750055D,1,1750055A,0
9002303D,104,9002303A,0
9006218C,21,9006218A,0
9000153D,58,9000153A,0
9003072E,152,9003072A,0
0550006D,64,0550081A,0
9001177D,60,9001177D,0
2550037A,45,2550037A,0
1100001C,64,1100001A,0
7700158D,64,7700158A,0
9002296A,58,9000503A,0
0550071B,64,0550076A,0
1780091B,110,1780004A,0
6100050G,68,6100050B,0
9002489E,136,9002489A,0
9005305C,80,9002247A,0
9001081C,137,9001081A,0
9003351A,81,9003351A,0
4100035A,192,4100048A,0
5230023J,127,5230023A,0
3850110B,206,3850110B,1
2950022A,155,2950022A,0
2550061A,45,2550061A,0
6220015B,18,6220043A,0
1070041F,124,1070041A,0
7750043D,79,7750043A,0
9001141A,147,9005934A,0
9002138A,21,9001451A,0
5150194F,36,5150194A,0
9001187D,60,9001187A,0
9002772A,55,9002772A,0
1000075E,56,1000075A,0
7800149A,120,7800149A,0
9000354A,175,9000354A,0
9001946A,60,9001178A,0
3800013F,195,3800013A,0
0950189A,41,0950189A,0
6300002H,3,6300004A,1
2930004C,114,2930067A,1
9000772A,58,9000751B,0
9001212B,81,9001212A,0
7670009E,138,7670009A,0
4060001H,83,4060001A,0
9002634A,91,9002638A,0
1100008D,64,1100007A,0
4450010F,76,4450010A,0
9003122E,55,9003122A,0
9001348A,97,9001348A,0
4060001F,83,4060001A,0
3450007F,161,3450007A,0
1030105D,178,1030105A,0
9001203E,61,9001203A,0
9000913D,86,9002813C,0
5150213A,36,5150213A,0
5550002B,190,5550035A,0
9001053A,142,9001053A,0
5530085G,192,5530085A,0
9000841E,60,9000841A,0
5000011K,2,5000011A,0
4060001D,83,4060001A,0
9000817E,86,9000817A,0
5150108E,36,5150108A,0
9000422A,60,9000422A,0
4200005C,164,4200005A,0
4060001G,83,4060001A,0
5150020A,46,5150020A,1
9000091C,54,9003129A,0
1900015F,67,1900015B,0
9001138B,180,9002518A,0
7410002A,114,7410002A,0
9001518B,93,9000052A,0
9000187C,55,9000187A,0
6650035A,70,6650035A,0
9000115A,55,9000115A,0
1070007B,124,1070022A,0
6250035C,81,6250036B,0
2850013B,99,2850025A,0
9006419B,54,9006416A,0
3750012A,5,3750012A,1
9002272A,81,9002273A,0
9002266C,62,9000160A,0
9000097G,21,9000097C,0
9006337B,86,9006337A,0
6250007D,81,6250006A,0
6220016A,17,4700001F,1
0950184A,46,0950184A,0
4400008C,36,4400008A,0
5150012B,36,5150012A,0
0600010G,64,0600010A,0
2850016B,99,2850010A,0
9006317D,86,9006317A,0
9002252A,81,9002252A,0
9000298A,60,9005199A,0
9001312C,81,9001312A,0
9000019A,21,9000019A,0
9002534B,180,9002534A,0
9000558B,102,9000558B,0
9000296E,175,9000296C,0
9002409C,147,9002409A,0
4800006B,124,4800006B,0
9000700A,47,9000700A,0
7800015D,120,7800021A,0
3850046B,209,3850046A,0
5850118E,110,5850118A,0
5150092E,38,5150092A,0
3990003B,156,3990003A,0
7800021C,120,7800021A,0
4050051E,83,4050051A,0
2040011B,68,2040019A,0
3300042A,120,3300042A,0
9000448D,30,9000448A,0
3850346A,209,3850346A,0
2350024F,39,2350024A,0
4050051D,83,4050051A,0
3550087D,2,3550022A,0
6220110D,14,6220023A,0
6300003J,3,6300004A,1
1450305D,179,1450305A,0
9002782C,55,9006483A,0
9000305E,21,9000305A,0
7750029C,79,7750024A,0
9002549A,180,9002549A,0
5150198C,36,5150198A,0
6400007B,36,6400002A,0
4500021F,69,4500021A,0
3850032C,169,3850032B,0
6250001A,81,6250001A,0
2700004A,155,2700004A,0
0080053A,83,0080053A,0
0050002G,7,0050022A,1
4800024F,120,4800024A,0
7700141A,64,7700141A,0
2630063C,123,2630066B,0
0350104J,68,0350104A,0
7800054A,120,7800054A,0
9001632B,93,9001632B,0
9000134E,21,9000134A,0
9001799D,175,9002496B,0
2550190C,45,2550190A,0
7360006D,18,7360001A,0
9005196C,60,9005196A,0
7700150C,64,7700150A,0
0600030E,64,0600029A,0
3550061C,2,3550061A,0
9007843G,55,9007843A,0
4060005D,83,4060012A,0
9001824C,47,9001824A,0
3550065E,2,3550022A,0
4800037D,120,4800037A,0
5850027B,110,5850027A,0
5530007E,192,5530007A,0
9001686A,86,9001686A,0
9003431B,81,9003431A,0
9006471E,55,9006471A,0
9001912A,21,9000474A,0
9003368D,148,9003368A,0
9000210B,20,9005662A,0
2630195F,123,2630195A,0
1070023D,124,1070023A,0
2050205C,120,4780004A,0
1850046D,129,1850063A,0
9002084B,104,9002084A,0
4100025C,192,4100026A,0
6220060G,14,6220182A,0
0150049E,68,0150049A,0
9000608B,92,9000608A,0
4400007C,39,4400007A,0
9002900B,107,9002900A,0
1780079K,110,1780079A,0
1940001F,63,1940001A,0
7150013C,198,7150013A,0
9006426D,55,9000689A,0
6220140A,14,6220004A,0
6250085E,81,6250078A,0
6220005G,14,6220005A,0
6100012A,68,6100012A,0
6220115E,14,6220115A,0
3850295A,214,3850295A,0
2700101C,155,2700101A,0
9002334B,104,9002334A,0
6100001C,68,6100002A,0
3550001B,1,3550001A,0
9001644B,30,9000641D,0
9001362B,81,9001326A,0
9001135E,81,9001413A,0
9003431C,81,9003431A,0
9002424B,152,9002424A,0
7700163D,109,7700164A,0
7800148H,120,7800148A,0
3550028D,1,3550090A,0
1070020F,124,1070020A,0
5850211A,110,5850211A,0
6230011D,120,6230011A,0
2550039E,45,2550039A,0
9003741A,104,9001465C,0
0520001E,114,0520001A,0
6550035F,171,6550035A,0
9001541B,94,9001541A,0
9000325B,21,9000325A,0
9000080A,21,9000080A,0
9000090G,21,9000090A,0
3300008C,120,3300008C,0
5150180D,36,5150180A,0
9000750F,43,9000750A,0
9000731C,93,9000731A,0
1500073A,63,1500074C,0
1780081A,110,1780066A,0
0550085K,64,0550085A,0
6250038B,81,6250019A,0
9002541A,20,9002539A,1
5850224A,112,2930016A,1
6100050D,68,6100050B,0
6220102F,14,6220102A,0
0550009F,64,0550009A,0
7800017A,120,7800167C,0
0450004F,180,0450004A,0
9000662C,43,9000395B,0
9000752B,43,9000752A,0
4800004C,124,4800004A,0
9001951C,79,9001951A,0
1070002D,124,1070002A,0
3850370E,209,3850370C,0
2700020B,155,2700105A,0
9000140E,58,9000140A,0
1780077B,110,1780077A,0
2600035B,65,2600016A,0
1770015B,2,1770015A,0
3850577B,209,3850577A,0
5530002C,192,5530002A,0
5250030B,90,5250030A,0
6700012D,120,6700012A,0
9000679C,85,9000679C,0
7600002B,112,7600002A,0
9002324C,104,9002324A,0
7750046D,79,7750007A,0
9003626D,52,9003626A,0
1500086D,63,1500086B,0
9000180A,55,9000180A,0
9001958B,136,9001751A,0
2700091D,155,2700091A,0
5050007H,192,5050007A,0
9002500B,138,9002500A,0
9000498B,21,9000498A,0
7150046E,191,7150046A,0
3900062A,120,3900062A,0
9004117C,146,9000039A,0
9000969D,85,9000969A,0
9005916F,81,9005916B,0
3850297C,209,3850296A,0
6050016B,21,6050016A,0
9001737A,79,9000389B,0
9000378D,21,9000378A,0
0350079E,68,0350079A,0
1850030D,129,1850030A,0
5050008A,192,5050014A,0
5250055B,90,5250055A,0
4780015C,120,4780004A,0
9002318A,21,9002318A,0
3850204E,204,3850204A,0
2500002B,155,2500002A,0
4100014D,192,4100014C,0
9001015E,60,9001015D,0
3550011D,2,3550011B,0
9000645C,30,9000645A,0
5230041B,127,5230041A,0
9002748A,101,9001262A,0
5050002A,192,5050003A,0
2550041E,45,2550041A,0
9006463C,55,9000213B,0
3750009N,36,3750010F,1
2630193C,123,2630193C,0
2950141A,155,2950141A,0
9000908E,104,9002163A,0
1100025A,63,1100028A,0
1600014C,104,1600042A,0
9000406D,58,9000406B,0
1850072E,129,1850102A,0
4780011E,120,4780011A,0
9005918E,81,9007683A,0
9001560E,104,9001557B,0
9002619F,19,9004234A,0
2550048A,45,2550048A,0
9000207D,55,9000207B,0
9002344A,137,9002344A,0
9000362D,10,9000362A,0
7750005B,79,7750005A,0
3850107A,204,3850144A,0
2930004D,114,2930067A,1
9002389A,150,9002389A,0
2750011B,193,2750011A,0
9000473B,86,9000843B,0
0750035D,124,0750035A,0
9002886B,21,9000080A,0
3850371B,209,3850370C,0
9000274F,94,9000582A,0
2550060A,45,2550060A,0
4060003L,83,4060003A,0
6220092D,13,6220092D,1
9001230A,81,9001343A,0
9002869A,93,9005400A,0
4450003F,126,4450003A,0
9002810A,21,9000510A,0
1030012C,178,1030032A,0
2550017E,45,2550017A,0
3400024C,39,3400024A,0
6000053E,39,6000053A,0
3680003B,2,1750001A,0
6550019E,171,6550019B,0
3450045E,173,3450045A,0
3990001D,156,3990001A,0
9002299D,104,9002299A,0
2500028C,196,2500026A,0
9000840B,79,9001428A,0
2950037E,155,2950037C,0
2950021E,155,2950020A,0
9001656C,94,9001656C,0
9002839B,93,9002839A,0
7150108E,191,7150106A,0
9000277C,94,9000277A,0
4800034G,120,4800034A,0
9002824C,21,9002824A,0
9002482B,136,9002482A,0
9000332B,211,9006354A,0
9002234C,81,9002234A,0
5250011F,90,5250011B,0
9000994B,189,9000994A,0
9002952D,93,9002952A,0
2950048G,155,2950048A,0
4050057H,83,4050057A,0
9002910D,177,9002910A,0
9008296E,189,9008296A,0
9000189F,55,9000189C,0
5100018A,163,5100020A,0
3400005A,39,3400005A,0
1900004D,67,1900004A,0
6200001C,75,6200003B,0
9002636A,189,9002636A,0
5530027E,192,5530027A,0
1450052H,179,1450052A,0
5150205A,36,5150186A,0
9002320A,58,9002320A,0
9001357D,81,9001357A,0
9002156C,136,9002156A,0
0900030E,81,0900030A,0
9001727D,177,9001727A,0
5100036E,163,5100036A,0
3850591E,209,3850591A,0
2550088C,45,2550088C,0
9000536D,86,9000536A,0
3400052A,39,3400052A,0
9002358A,104,9002358A,0
2930017A,114,2930017A,1
5250036H,90,5250087C,0
6220093B,18,6220103A,0
4400016A,39,4400016A,0
6700017A,120,6700017A,0
6100014A,68,6100015A,0
0750044A,129,0750044A,0
9000553H,58,9007101E,0
9005924A,81,9005924A,0
7410029A,64,7410029A,0
1770008J,2,1770008E,1
0600001A,64,0600001A,0
5600073B,115,5600073A,0
9000023B,19,9000023B,0
9006620E,55,9006620A,0
2500030F,196,2500030A,0
1780087B,110,1780087A,0
9002499C,138,9002499A,0
9003969B,104,9001779C,0
4800015B,124,4800059A,0
9006644E,55,9000801C,0
9001430G,79,9001433A,0
5150003B,36,5150003B,1
9002855A,80,9007221A,0
4780009B,120,4780003A,1
3300016G,120,3300015A,0
9001113E,60,9001113A,0
0350023B,68,0350023A,0
5000018K,2,5000018A,0
2300006D,139,2300006A,0
1750009C,2,1750054A,0
5230024A,127,5230024A,0
0550073E,64,0550073A,0
5250147D,90,5250147A,0
9000269C,104,9000269B,0
5750050E,69,5750006A,0
3850248C,205,3850248A,0
9000413A,58,9000073A,0
6400011B,36,6400011A,0
1500009B,63,1500009A,0
9000567D,102,9000567A,0
9001938A,150,9001938A,0
9002137C,104,9002137A,0
2850006B,99,2850006A,0
9000252B,21,9000252A,0
9001368A,85,9000966B,0
4450026K,126,4450026A,0
7600007A,112,7600007A,0
6050012E,21,6050012A,0
9000530C,49,9000530A,0
9005916A,81,9005919A,0
3850399D,209,3850399A,0
9000484B,79,9000484B,0
0350054C,68,0350054A,0
9002167G,104,9002167A,0
6850020B,30,6850002A,0
4450008A,126,4450008A,0
1450030K,179,1450028C,0
6220059G,14,6220059E,0
9000690B,47,9000690B,0
9001434D,177,9002591A,0
5150108G,36,5150108A,0
2950076C,155,2950076A,0
1940014A,63,1940001A,0
9000784A,43,9000784A,0
9002030A,137,9002039A,0
0400008B,124,0400008A,0
9006263B,52,9003626A,0
3550033D,1,3550033A,0
9006383C,215,9006383A,0
9001919A,21,9002305A,0
9002360B,21,9000467C,0
9001890B,94,9001890A,0
0950150C,46,0950008A,0
9007674A,55,9007674A,0
1780006G,110,1780006A,0
3500017C,36,3500055A,1
5250049D,90,5250049A,0
1780019E,110,1780014A,0
2550113D,45,2550042B,0
1100073D,63,1100073A,0
7800025B,120,7800004A,0
6650011B,115,6530005A,0
7150004A,198,7150004A,0
3700042W,2,3700042B,0
3680001F,2,0090005B,1
2080001C,196,2080002A,0
7050008K,68,7050008B,0
1850047A,129,1850047A,0
9005130C,43,9001267A,0
6220032B,18,6220032A,0
5150007C,36,5150007A,0
9002193B,104,9002193A,0
5550095C,190,5550095A,0
4500014B,69,4500014A,0
0950040A,48,0950040A,0
2600040A,67,2600040A,0
6820002B,18,6820010A,0
5750014C,69,5750014A,0
2950057F,155,2950057A,0
7800066B,120,7800087A,0
9000758A,47,9000758A,0
0600010F,64,0600010A,0
5400019B,1,5400019A,0
3550063B,2,3550021A,0
3450069D,159,3450067A,0
9001318F,81,9001318A,0
9000325D,21,9000325A,0
1850056C,129,1850056C,0
2850025A,99,2850025A,0
6400012F,36,6400012A,0
4400067P,39,4400067A,0
5250012C,90,5250012A,0
4800045F,124,4800045A,0
7770011E,50,7770011A,0
9007226F,104,9007229B,0
3300001D,120,3300001A,0
9001218B,81,9001218A,0
3850257C,214,3850255A,0
1450091F,179,1450091A,0
7800014E,120,7800165D,0
9001429C,79,9001429A,0
6550040B,171,6550019B,0
2550132E,45,2550102A,0
3150023D,46,3150023A,0
3850271A,214,3850271A,0
9002825B,93,9002108A,0
1030038C,178,1030038B,0
6300021A,3,6300014A,0
5530086D,192,5530086A,0
0350004D,68,0350007A,0
9002186C,148,9002185A,0
1070017A,124,1070017A,0
6220117K,14,6220091A,0
7650009D,145,7650009A,0
2600098D,65,2600098A,0
1070008A,124,1070008A,0
9001244A,150,9001244A,0
9001235C,61,9001235A,0
0600037A,64,0600037A,0
9000424F,62,9000083A,0
6400011D,36,6400011A,0
9007307B,30,9007307A,0
1960003B,180,1960003A,0
0150063B,68,0150063A,0
2700010E,155,2700010A,0
9001224D,79,9001224C,0
9002190A,104,9007211A,0
6220103A,18,6220103A,0
9006391B,215,9006398A,0
9000961A,86,9001664A,0
1450300E,179,1450008A,0
7700153A,64,7700153A,0
6220135C,14,6220135A,0
9002043C,137,9002050A,0
9001006C,215,9001006A,0
5250013B,90,5250013A,0
0200044G,36,0200044A,0
3850291B,214,3850215B,0
2550032E,45,2550032A,0
0750024A,129,0750024A,0
9000377D,58,9000377B,0
3850535F,214,3850535A,0
9001374D,81,9001374A,0
6250017F,81,6250017A,0
9005656D,30,9005656A,0
9002835C,93,9002835A,0
4500014E,69,4500014A,0
9000396D,21,9000396A,0
9006248F,17,9006248A,0
4050208G,83,4050014A,0
3850287B,214,3850287A,0
6550028G,171,6550028A,0
5250050D,90,5250046D,0
9000191C,54,9000191A,0
3850445A,214,3850445A,0
9005837A,107,9005837A,0
7670007B,154,7670007A,0
9001484A,215,9001484A,0
9000095A,19,9000095A,0
3850545R,204,3850012A,0
9000272D,81,9000272A,0
3750008K,7,3750047A,1
2620005A,2,0090005B,1
7150058E,198,7150058A,0
3990030D,156,3990030A,0
3670033B,155,3670033A,0
9002500G,138,9002500A,0
1100004C,64,1100004A,0
5100002A,163,5100002A,0
3300005C,120,3300008C,0
6700009D,120,6700009B,0
9000773A,58,9002704A,0
6250068G,81,6250106A,0
7150063D,194,7150061A,0
4450020C,126,4450020A,0
0350046F,68,0350035A,0
5150076B,36,5150065A,0
9001207C,61,9001207A,0
6850002E,30,6850002A,0
2500064C,196,2500064A,0
3850038C,206,3850038A,0
7510012G,104,7510012A,0
9000400C,58,9000400A,0
3500001K,36,3500016A,1
0080050A,83,0080050A,0
2040001B,68,2040001A,0
9007166C,104,9007166B,0
3850045A,209,3850045A,1
3550032B,2,3550032A,0
9000070D,21,9000070A,0
7690004A,180,7690005A,0
9001412C,81,9001413A,0
5050012D,192,5050012A,0
5000043F,2,5000005A,0
2930010C,114,2930010A,1
5500117A,63,1500078A,0
