id,california,name,incidents,inspections,enforcement-actions,hazardous-liquid,states-of-operation-hl,inspected-miles-hl,gas-transmission,states-of-operation-gt,inspected-miles-gt,gas-gathering,states-of-operation-gg,inspected-miles-gg
32478,,"ATLAS PIPELINE MID-CONTINENT WESTOK, LLC",,,,,,,,,,TRUE,"KS,OK",16
38884,,"ATLAS PIPELINE TENNESSEE, LLC",,,,,,,TRUE,TN,28,,,
32463,,"ATMOS ENERGY CORPORATION - ATMOS GATHERING COMPANY, LLC",,,,,,,TRUE,"IN,KY",3,,,
31729,,"ATMOS ENERGY CORPORATION - ATMOS PIPELINE AND STORAGE, LLC",,,,,,,TRUE,KY,40,,,
6720,,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,,,,,,,TRUE,KS,7,,,
22476,,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),,,,,,,TRUE,KY,208,,,
20211,,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),,,,,,,TRUE,"GA,TN,VA",147,,,
11800,,ATMOS ENERGY CORPORATION - LOUISIANA,,,,,,,TRUE,LA,21,,,
31348,,ATMOS ENERGY CORPORATION - MID-TEX,,,,,,,TRUE,TX,328,,,
12582,,ATMOS ENERGY CORPORATION - MISSISSIPPI,,,,,,,TRUE,MS,293,,,
11017,,ATMOS ENERGY CORPORATION - TRANS LOUISIANA GAS PIPELINE,,,,,,,TRUE,LA,50,,,
4473,,ATMOS ENERGY CORPORATION - WEST TEXAS,,,,,,,TRUE,TX,95,,,
31978,,ATMOS PIPELINE - TEXAS,,,,,,,TRUE,TX,5628,,,
32094,,AUX SABLE LIQUID PRODUCTS,,7,1,TRUE,IL,34,TRUE,IL,46,,,
32641,,AUX SABLE MIDSTREAM,,,,,,,TRUE,ND,84,,,
31232,,AVISTA CORP,,,,,,,TRUE,"OR,WA",109,,,
31685,,AZTECA MILLING LP,,,,,,,TRUE,TX,8,,,
32059,,B. D. DEANS LLC,,,,,,,TRUE,MI,5,,,
1065,,BALCONES STARR PIPELINE,,,,,,,,,,TRUE,TX,29
1088,,BALTIMORE GAS & ELECTRIC CO,,,,,,,TRUE,MD,163,,,
31481,,BANGOR GAS CO LLC,,,,,,,TRUE,ME,9,,,
32124,,"BARNETT GATHERING, LLC",,,,,,,TRUE,TX,21,TRUE,TX,373
31116,,BARON EXPLORATION COMPANY,,,,,,,,,,TRUE,TX,1
1134,,BARROW UTILITIES & ELECTRIC CORP,,8,4,,,,TRUE,AK,6,,,
31059,,BASF CORPORATION,,,,TRUE,TX,9,,,,,,
32145,,BASIN ELECTRIC POWER COOPERATIVE,,,,,,,TRUE,SD,25,,,
31714,,BASIN FROZEN FOODS,,,,,,,TRUE,WA,4,,,
1130,,BASIN PIPELINE CORP,,,,,,,,,,TRUE,AL,1
31726,,BASIN PIPELINE LLC,,,,,,,TRUE,MI,2,TRUE,MI,99
30073,,BASS ENTERPRISES PRODUCTION CO,,,,,,,,,,TRUE,TX,26
32511,,"BATON ROUGE RENEWABLE ENERGY, LLC",,,,,,,TRUE,LA,5,,,
1176,,BATTLE CREEK GAS CO,,,,,,,TRUE,MI,21,TRUE,MI,1
31901,,BAXTER HEALTHCARE CORP.,,,,,,,TRUE,MS,2,,,
30026,,BAY GAS STORAGE CO. LTD.,,,,,,,TRUE,AL,87,,,
31782,,BAYSIDE POWER STATION,,,,,,,TRUE,FL,1,,,
1213,,BAZZLE GAS CO,,,,,,,,,,TRUE,WV,4
1217,,BEAR CREEK STORAGE CO,,4,,,,,TRUE,LA,25,,,
30968,,BEARTOOTH PIPELINE,,2,,TRUE,"MT,WY",76,,,,,,
32140,,BEAVER PLANT- PORTLAND GENERAL ELECTRIC,,,,,,,TRUE,OR,0,,,
1232,,BEDFORD NATURAL GAS SYSTEM,,,,,,,TRUE,IA,17,,,
1248,,BELLE FOURCHE PIPELINE CO,,21,8,TRUE,"MT,ND,WY",551,,,,,,
6710,,BELVAN PARTNERS LP,,,,TRUE,TX,9,,,,,,
1228,,"BENAVIDES, CITY OF",,,,,,,TRUE,TX,11,,,
1320,,BENSON-MONTIN-GREER DRILLING CORP,,,,,,,,,,TRUE,NM,60
1344,,BERKSHIRE GAS CO,,,,,,,TRUE,MA,6,,,
26009,TRUE,BERRY PETROLEUM CO,,1,,,,,TRUE,CA,3,,,
32224,TRUE,BETA OFFSHORE,,9,4,TRUE,CA,18,,,,,,
32649,,BHP BILLITON PETROLEUM (ARKANSAS) INC.,,,,,,,TRUE,AR,64,TRUE,AR,41
32453,,BHP BILLITON PETROLEUM (EAGLE FORD GATHERING) LLC,,,,TRUE,TX,129,TRUE,TX,9,,,
1426,,BIG SANDY GAS COMPANY,,,,,,,,,,TRUE,WV,0
32583,,"BIG SANDY PIPELINE, LLC",,1,,,,,TRUE,KY,67,,,
1432,,BIG TWO MILE GAS CO,,,,,,,,,,TRUE,WV,6
32088,TRUE,"BIG WEST OF CALIFORNIA, LLC",,4,3,,,,TRUE,CA,2,,,
31480,,BIS TEPSCO INC.,,,,,,,TRUE,TX,3,,,
32481,,"BKEP CRUDE, LLC",,2,,TRUE,OK,366,,,,,,
32551,,"BKEP PIPELINE, LLC",,,,TRUE,TX,118,,,,,,
32544,,BLACK BELT ENERGY,,,,,,,TRUE,AL,14,,,
32625,,BLACK ELK ENERGY LLC,,4,2,TRUE,"LA,TX",39,,,,TRUE,TX,9
15359,,BLACK HILLS ENERGY,,1,,,,,TRUE,"CO,IA,KS,NE",604,,,
31754,,BLACK HILLS POWER INC,,,,,,,TRUE,SD,1,,,
32564,,BLACK HILLS SERVICE COMPANY,,,,,,,TRUE,CO,6,,,
1466,,BLACK LAKE PIPE LINE CO,,1,,TRUE,IL,313,,,,,,
1472,,BLACK MARLIN PIPELINE CO,,4,1,,,,,,,TRUE,"TX,TX",58
32244,,"BLACK POOL ENERGY, L.P.",,,,,,,,,,TRUE,TX,8
1486,,BLACK WARRIOR TRANSMISSION CORP,,,,,,,TRUE,AL,13,,,
30047,,"BLANDING, CITY OF",,,,,,,TRUE,UT,33,,,
1552,,BLUE DOLPHIN PIPELINE COMPANY,,4,2,,,,TRUE,TX,38,TRUE,TX,37
39010,,"BLUE RACER MIDSTREAM, LLC",,,,,,,,,,TRUE,OH,52
38932,,"BLUESTONE PIPELINE COMPANY OF PA, LLC",,,,,,,TRUE,PA,13,,,
32249,,"BLUEWATER GAS STORAGE, LLC",,2,,,,,TRUE,MI,30,TRUE,MI,6
32161,,"BMC HOLDINGS, INC.",,,,TRUE,TX,5,,,,,,
38903,,BOARD OF PUBLIC UTILITIES,,1,,TRUE,KS,3,,,,,,
32606,,"BOARDWALK FIELD SERVICES, LLC",,,,,,,TRUE,TX,129,TRUE,TX,12
32396,,BOBCAT GAS STORAGE,,2,,,,,TRUE,LA,22,,,
12990,,BOBWHITE PRODUCTION CO INC,,,,,,,TRUE,OK,3,,,
31973,,BOC GASES,,3,2,TRUE,WY,7,,,,,,
31149,,"BOIS DARC OFFSHORE, LTD",,1,3,TRUE,TX,8,,,,TRUE,LA,2
32233,,"BOPCO, L.P.",,,,,,,,,,TRUE,TX,13
32257,,"BORAL BRICKS, INC.",,,,,,,TRUE,"IN,OK",3,,,
1640,,BOSTON GAS CO,,,,,,,TRUE,MA,6,,,
31630,,BP AMERICA PRODUCTION,,2,2,TRUE,TX,0,TRUE,"CO,TX",9,TRUE,"CO,NM,TX",29
18386,,BP OIL PIPELINE CO,,13,3,TRUE,"KY,OH",108,,,,,,
31189,TRUE,BP PIPELINE (NORTH AMERICA) INC.,,66,6,TRUE,"AL,CA,IA,IL,IN,KSKY,LA,MO,OC(B),OK,TNTX,WA",2104,TRUE,OC(B),213,,,
1541,,"BP PIPELINES (ALASKA), INC",,55,15,TRUE,AK,113,TRUE,AK,48,,,
32044,,BP USFO/LOGISTICS,,18,2,TRUE,NJ,4,,,,,,
31610,TRUE,BP WEST COAST PRODUCTS L.L.C.,,5,2,TRUE,CA,142,TRUE,CA,19,,,
30062,,"BRADKEN-ATCHISON/ST. JOSEPH, INC",,,,,,,TRUE,KS,2,,,
30657,,BRAVO PIPELINE COMPANY,,8,4,TRUE,"CO,NM,TX",896,,,,,,
1700,,BRAZOS ELECTRIC POWER COOPERATIVE INC,,,,,,,TRUE,TX,70,,,
30546,TRUE,BREA CANON OIL COMPANY,,1,,,,,,,,TRUE,CA,11
38899,TRUE,"BREITBURN MANAGEMENT COMPANY, LLC",,,,TRUE,CA,0,,,,,,
30029,TRUE,BREITBURN OPERATING L.P.,,,,TRUE,CA,0,TRUE,"KY,MI",122,TRUE,"IN,MI",24
1734,,BRIDGELINE GAS DISTRIBUTION LLC,,,,,,,TRUE,LA,476,,,
11820,,"BRIDGELINE HOLDINGS, LP",,,,,,,TRUE,LA,974,,,
955,,BRIDGELINE STORAGE COMPANY,,,,,,,TRUE,LA,11,,,
32483,,"BRIDGER LAKE, LLC",,3,1,TRUE,WY,24,,,,,,
31878,,BRIDGER PIPELINE LLC,,19,5,TRUE,"MT,ND",384,,,,,,
1752,,BRIGHTON MUNICIPAL GAS SYSTEM,,,,,,,TRUE,IA,14,,,
39058,,"BROWN INDUSTRIAL GAS, INC",,,,,,,,,,TRUE,TX,6
30984,,"BRYAN, CITY OF",,,,,,,TRUE,TX,4,,,
32633,,"BUCCANEER ALASKA OPERATIONS, LLC",,5,,,,,TRUE,AK,1,,,
31371,,"BUCKEYE DEVELOPMENT & LOGISTICS, LLC",6,5,2,TRUE,"GA,LA,MI,NC,TX",1283,TRUE,TX,67,,,
1845,TRUE,"BUCKEYE PARTNERS, LP",,188,40,TRUE,"AL,CA,CT,FL,IA,ILIN,MA,ME,MI,MO,NJNV,NY,OH,PA,TN,TX",6409,,,,,,
32381,,BUFFALO LAKE ENERGY LLC - NW GAS CONTRACTED,,,,,,,TRUE,MN,5,,,
30965,TRUE,BULLDOG GAS & POWER LLC,,4,2,,,,TRUE,CA,3,,,
1960,,BUTTE PIPELINE CO,,8,3,TRUE,"MT,WY",338,,,,,,
30981,,C W RESOURCES,,,,,,,,,,TRUE,TX,3
2001,,CABOT OIL & GAS CORP,,,,,,,TRUE,WV,5,TRUE,"TX,WV",13
32629,,"CAIMAN EASTERN MIDSTREAM, LLC",,,,,,,TRUE,WV,1,,,
31933,,CALCASIEU REFINING COMPANY,,,,TRUE,LA,5,TRUE,LA,1,,,
32394,,"CALEDONIA ENERGY PARTNERS, LLC",,1,,,,,TRUE,MS,3,,,
38904,,CALERA GATHERING LLC,,,,,,,TRUE,AL,23,TRUE,AL,115
32685,,CALGAS LLC,,,,,,,TRUE,TX,6,,,
31394,TRUE,CALIFORNIA GAS GATHERING INC,,5,1,,,,TRUE,CA,33,,,
2042,,CALLIDUS TECHNOLOGIES BY HONEYWELL,,,,,,,TRUE,OK,2,,,
992,,"CALLON OFFSHORE PRODUCTION, INC",,,,,,,,,,TRUE,LA,6
26125,TRUE,CALNEV PIPELINE CO,,25,,TRUE,"CA,NV",571,,,,,,
31763,,CALPINE NATURAL GAS LP,,,,,,,TRUE,"LA,MO",8,,,
31788,,CALPINE TEXAS PIPELINE LP,,,,,,,TRUE,TX,41,,,
31847,,"CALUMET LUBRICANTS CO., L. P.",,,,TRUE,LA,6,,,,,,
31824,,"CALUMET LUBRICANTS CO., L.P.",,,,TRUE,LA,34,,,,,,
31455,,"CALUMET MONTANA REFINING, LLC",,5,8,TRUE,MT,3,,,,,,
32503,,"CALUMET SHREVEPORT FUELS, LLC",,,,TRUE,LA,8,,,,,,
12913,,"CALUMET SUPERIOR, LLC",,5,7,TRUE,WI,6,,,,,,
32531,,CAMBRIAN ENERGY/ SOUTHTEX FT. SMITH TREATERS,,,,,,,TRUE,AR,1,,,
32345,,CAMERON INTERSTATE PIPELINE,,4,1,,,,TRUE,LA,37,,,
31789,,CAMPEON GAS CORPORATION,,,,,,,TRUE,TX,8,,,
32158,,CAPCO OPERATING CORPORATION,,,,,,,,,,TRUE,TX,17
32176,,CARDINAL FG,,,,,,,TRUE,WA,3,,,
32554,,CARDINAL MIDSTREAM LLC,,,,TRUE,OK,15,TRUE,OK,4,,,
32657,,"CARDINAL OPERATING COMPANY, LLC",,,,,,,TRUE,NC,105,,,
32515,,CARGILL SALT,,,,,,,TRUE,OK,3,,,
31846,,CAROLINA GAS TRANSMISSION,,22,3,,,,TRUE,"GA,SC",1468,,,
1017,,"CARRIZO OIL & GAS, INC.",,,,,,,,,,TRUE,TX,5
2128,,CASCADE NATURAL GAS CORP,,,,,,,TRUE,"OR,WA",144,,,
32142,,CASCADE PIPELINE,,,,TRUE,TX,10,,,,,,
30860,,CASKIDS OPERATING COMPANY,,,,,,,,,,TRUE,TX,1
31775,,CCI ROBINSON‰ÛªS BEND LLC,,,,,,,TRUE,AL,5,TRUE,AL,9
32080,,"CCPS TRANSPORTATION, LLC",,28,1,TRUE,"IL,KS,MO,OK",586,,,,,,
32230,,"CDX GAS, LLC",,,,,,,TRUE,AL,23,,,
32404,,"CEI PIPELINE, LLC",,,,,,,TRUE,TX,10,,,
2168,,CELANESE CHEMICAL CO,,,,TRUE,TX,13,TRUE,TX,3,,,
31670,,CELANESE LTD,,,,TRUE,TX,51,,,,,,
32612,,"CELERO ENERGY II, L.P.",,,,TRUE,NM,18,,,,,,
2170,,CENEX PIPELINE LLC,,24,15,TRUE,"MT,ND",681,,,,,,
32389,,"CENTAURI TECHNOLOGIES, LP",,,,,,,TRUE,TX,6,,,
32024,,"CENTERPOINT ENERGY INTRASTATE PIPELINES, INC.",,,,,,,TRUE,TX,181,,,
31790,,CENTERPOINT ENERGY PIPELINE SERVICES,,,,,,,TRUE,TX,44,,,
603,,CENTERPOINT ENERGY RESOURCES CORP.,,,,,,,TRUE,"AR,OK",155,,,
12350,,"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY M",,,,,,,TRUE,MN,162,,,
4499,,CENTERPOINT ENERGY RESOURCES CORPORATION,,,,,,,TRUE,"LA,MS,TX",148,,,
31024,,CENTRA PIPELINE MINNESOTA INC.,,8,3,,,,TRUE,MN,68,,,
2180,,CENTRAL CITY GAS SYSTEM DEPT,,,,,,,TRUE,NE,4,,,
2188,,CENTRAL FLORIDA GAS CORP,,,,,,,TRUE,FL,10,,,
2190,,CENTRAL FLORIDA PIPELINE CORP,,13,2,TRUE,FL,206,,,,,,
2196,,CENTRAL HUDSON GAS & ELECTRIC CORP,,,,,,,TRUE,NY,165,,,
31584,,CENTRAL IOWA POWER COOPERATIVE,,,,,,,TRUE,IA,4,,,
31546,,CENTRAL LOUISIANA ENERGY PIPELINE CO (CLEPCO),,,,TRUE,LA,37,TRUE,LA,1,,,
31783,,CENTRAL NEW YORK OIL AND GAS CO LLC,,12,8,,,,TRUE,"NY,PA",95,,,
32104,TRUE,"CENTRAL RESOURCES, INC.",,,,TRUE,CA,3,,,,,,
32603,TRUE,"CENTRAL VALLEY GAS STORAGE, LLC",,,,,,,TRUE,CA,16,,,
31888,,CENTURION PIPELINE L.P.,,20,7,TRUE,"NM,OK,TX",1628,,,,,,
32058,,CHACO ENERGY CO.,,,,,,,,,,TRUE,OK,1
31211,,"CHALKEY TRANSMISSION COMPANY, LTD",,,,,,,TRUE,LA,40,,,
32475,,"CHANDLER CONSTRUCTION SERVICES, INC",,,,,,,TRUE,SC,6,,,
2256,,"CHANUTE, CITY OF",,,,,,,TRUE,KS,0,,,
31672,,"CHAPARRAL ENERGY, LLC",,12,3,TRUE,"KS,OK,TX",230,,,,TRUE,TX,56
2288,,CHATTANOOGA GAS CO,,4,2,,,,TRUE,TN,7,,,
879,TRUE,CHEMOIL TERMINALS CORP.,,,,TRUE,CA,37,,,,,,
32264,,"CHENIERE CREOLE TRAIL PIPELINE, L.P.",,4,2,,,,TRUE,LA,96,,,
